file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.example\src\main\java\io\jenetics\example\ReproducibleGA.java,io.jenetics.example.ReproducibleGA,class,6,6,0,6,1,1,0,18,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,10,0,0,0,0,0,0,6,5,0,7,0,0,0,2,34,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.xml\src\jmh\java\io\jenetics\xml\GenotypeReadPerf.java,io.jenetics.xml.GenotypeReadPerf,class,17,18,1,17,3,1,0,15,3,0.8333334,0.0,0.0,3,1,3,0,0,0,3,0,0,0,2,2,2,0,0,0,2,0,5,47,2,0,0,1,0,0,4,6,0,6,1,0,1,0,34,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.ext\src\test\java\io\jenetics\ext\moea\MOEATest.java,io.jenetics.ext.moea.MOEATest,class,12,12,0,12,4,1,0,30,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,3,20,7,6,10,0,0,0,3,30,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\test\java\io\jenetics\ExponentialRankSelectorTest.java,io.jenetics.ExponentialRankSelectorTest,class,15,16,1,15,8,4,0,22,21,0.0,0.0,0.0,7,3,3,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,15,41,5,1,0,0,0,4,19,10,2,12,1,0,0,3,57,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\testFixtures\java\io\jenetics\testfixtures\stat\Cdf.java,io.jenetics.testfixtures.stat.Cdf,interface,0,4,4,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\main\java\io\jenetics\internal\collection\BaseSeqSpliterator.java,io.jenetics.internal.collection.BaseSeqSpliterator,class,3,5,2,3,14,1,0,5,1,0.33333334,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,2,0,2,43,5,1,0,0,6,0,4,10,3,8,2,0,0,0,33,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\test\java\io\jenetics\internal\util\EquivalentValidator.java,io.jenetics.internal.util.EquivalentValidator,interface,4,7,3,4,4,1,0,8,6,0.0,0.0,0.0,4,1,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,2,22,1,0,0,0,0,0,0,2,0,2,0,1,0,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.prog\src\test\java\io\jenetics\prog\op\MathOpTest.java,io.jenetics.prog.op.MathOpTest,class,8,8,0,8,6,1,0,12,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17,31,1,0,0,0,0,10,21,5,0,5,1,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.prog\src\main\java\io\jenetics\prog\op\Operation.java,io.jenetics.prog.op.Operation,class,3,6,3,3,10,1,0,5,0,0.60714287,0.0,0.0,7,0,6,0,0,1,7,0,0,0,4,1,0,4,0,0,4,0,3,32,6,0,2,0,0,1,2,4,1,4,1,0,0,0,36,16,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\main\java\io\jenetics\TournamentSelector.java,io.jenetics.TournamentSelector,class,12,20,8,12,13,1,0,21,9,0.5714286,0.0,0.0,7,0,6,1,0,0,6,0,0,0,2,0,0,2,0,0,2,0,9,39,4,0,1,0,0,5,5,5,1,5,1,0,0,2,109,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\main\java\io\jenetics\RouletteWheelSelector.java,io.jenetics.RouletteWheelSelector,class,10,20,10,10,14,2,0,17,15,0.0,0.0,0.0,6,1,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,7,43,3,3,2,0,0,3,10,10,2,7,2,0,0,0,57,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.tool\src\main\java\io\jenetics\tool\evaluation\Diagram.java,io.jenetics.tool.evaluation.Diagram$Template,enum,2,2,0,2,4,1,0,3,0,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,3,25,2,0,0,1,0,11,0,3,1,3,1,0,0,0,62,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\test\java\io\jenetics\util\RequiresTest.java,io.jenetics.util.RequiresTest,class,5,5,0,5,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,1,0,0,0,0,5,2,0,4,1,0,0,4,12,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.ext\src\main\java\io\jenetics\ext\BigIntegerGene.java,io.jenetics.ext.BigIntegerGene,class,5,8,3,5,15,1,0,18,3,0.67142856,0.0,0.0,14,3,12,1,0,1,13,0,0,0,5,2,0,5,0,0,5,0,15,54,13,0,1,0,0,1,2,7,0,7,0,0,0,1,112,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\test\java\io\jenetics\ProbabilitySelectorTest.java,io.jenetics.ProbabilitySelectorTest,class,7,8,1,7,8,1,0,9,10,0.0,0.0,0.0,5,1,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,34,2,3,0,0,1,4,12,10,3,9,1,0,0,0,32,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\main\java\io\jenetics\ShiftMutator.java,io.jenetics.ShiftMutator,class,11,12,1,11,7,3,0,7,9,0.5,0.0,0.0,6,0,5,0,1,0,6,0,0,0,1,0,0,1,0,0,1,0,2,60,1,0,0,0,0,0,2,5,1,4,1,0,1,0,108,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.ext\src\test\java\io\jenetics\ext\rewriting\TreePatternTest.java,io.jenetics.ext.rewriting.TreePatternTest$Anonymous1,anonymous,3,3,0,3,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,1,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.ext\src\main\java\io\jenetics\ext\moea\VecFactory.java,io.jenetics.ext.moea.VecFactory,interface,12,20,8,12,18,1,0,9,153,0.0,0.0,0.0,18,17,0,1,0,17,17,0,0,0,0,0,0,0,0,0,0,0,15,54,17,0,0,0,0,0,1,0,0,0,0,0,0,0,115,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.example\src\main\java\io\jenetics\example\DynamicGenotype.java,io.jenetics.example.DynamicGenotype,class,12,12,0,12,2,2,0,19,1,0.5,NaN,NaN,2,2,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,7,61,2,0,0,0,0,1,10,4,3,5,0,0,1,2,18,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.ext\src\main\java\io\jenetics\ext\moea\UFTournamentSelector.java,io.jenetics.ext.moea.UFTournamentSelector,class,16,21,5,16,9,1,0,22,1,0.33333334,0.0,0.0,3,1,3,0,0,0,3,0,0,0,4,0,0,4,0,0,4,0,5,45,2,2,0,0,0,0,9,17,6,18,3,0,0,3,135,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.xml\src\main\java\io\jenetics\xml\Readers.java,io.jenetics.xml.Readers$IntegerChromosome,innerclass,5,5,0,5,4,1,0,8,6,0.0,0.0,0.0,4,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,16,3,0,0,1,0,0,0,1,0,1,1,0,0,0,43,25,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\test\java\io\jenetics\PersistentObject.java,io.jenetics.PersistentObject,class,21,24,3,21,70,1,0,203,2064,0.9666667,0.0,0.0,65,60,61,4,0,0,62,0,0,0,6,3,1,5,0,0,6,0,287,301,60,2,0,0,0,61,41,9,1,10,2,0,1,9,73,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\test\java\io\jenetics\RecombinatorTest.java,io.jenetics.RecombinatorTest,class,5,6,1,5,6,1,0,4,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,4,19,1,2,1,0,0,2,17,4,1,4,2,0,0,0,20,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.ext\src\test\java\io\jenetics\ext\internal\util\EscaperTest.java,io.jenetics.ext.internal.util.EscaperTest,class,4,5,1,4,4,1,0,11,4,0.5,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,1,0,1,0,0,1,0,2,20,2,0,0,0,0,9,3,5,0,5,0,0,0,0,26,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.incubator\src\main\java\io\jenetics\incubator\csv\CsvSupport.java,io.jenetics.incubator.csv.CsvSupport$LineSplitter,innerclass,5,5,0,5,36,1,0,20,13,0.56666666,0.0,0.0,10,1,7,3,0,0,7,0,0,0,3,0,0,3,0,0,3,0,6,107,3,2,13,0,0,2,17,24,8,15,6,0,0,0,85,25,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.prog\src\test\java\io\jenetics\prog\regression\SampleBufferTest.java,io.jenetics.prog.regression.SampleBufferTest,class,3,3,0,3,4,1,0,12,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,17,0,2,0,0,0,0,19,4,2,5,1,0,0,1,11,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.ext\src\main\java\io\jenetics\ext\moea\Vec.java,io.jenetics.ext.moea.Vec,interface,13,40,27,13,20,1,0,18,190,0.0,0.0,0.0,20,11,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,10,52,15,0,0,0,0,0,2,0,0,3,0,0,0,1,148,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.incubator\src\main\java\io\jenetics\incubator\beans\description\IndexedSetter.java,io.jenetics.incubator.beans.description.IndexedSetter,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\main\java\io\jenetics\NumericGene.java,io.jenetics.NumericGene,interface,5,17,12,5,7,1,0,7,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0
