file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.example\src\main\java\io\jenetics\example\ReproducibleGA.java,io.jenetics.example.ReproducibleGA,main/1[java.lang.String[]],false,49,4,0,0,0,1,16,7,0,6,1,16,0,0,0,0,0,0,0,4,4,0,0,0,0,2,7,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.xml\src\jmh\java\io\jenetics\xml\GenotypeReadPerf.java,io.jenetics.xml.GenotypeReadPerf,object/1[io.jenetics.xml.GenotypeReadPerf.IOState],false,121,2,0,0,0,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.xml\src\jmh\java\io\jenetics\xml\GenotypeReadPerf.java,io.jenetics.xml.GenotypeReadPerf,main/1[java.lang.String[]],false,135,4,0,0,0,1,8,4,0,1,1,8,0,0,0,0,0,0,0,4,1,0,0,0,0,0,7,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.xml\src\jmh\java\io\jenetics\xml\GenotypeReadPerf.java,io.jenetics.xml.GenotypeReadPerf,stream/1[io.jenetics.xml.GenotypeReadPerf.IOState],false,127,3,1,0,1,1,3,7,1,2,1,3,0,0,0,0,1,0,0,0,2,0,1,0,0,0,19,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics.ext\src\test\java\io\jenetics\ext\moea\MOEATest.java,io.jenetics.ext.moea.MOEATest,collect/0,false,55,12,3,0,3,4,30,14,0,10,0,30,0,0,0,0,0,0,3,20,7,6,0,0,0,3,22,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\test\java\io\jenetics\ExponentialRankSelectorTest.java,io.jenetics.ExponentialRankSelectorTest,expectedDistribution/0,false,75,6,5,0,5,1,14,9,2,5,0,14,1,1,0,0,0,0,3,4,3,0,1,0,0,2,15,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\test\java\io\jenetics\ExponentialRankSelectorTest.java,io.jenetics.ExponentialRankSelectorTest,"selectDistribution/3[java.lang.Double,io.jenetics.internal.util.Named<double[]>,io.jenetics.Optimize]",false,63,9,3,0,3,1,3,4,0,1,3,3,0,0,0,0,0,0,1,3,1,0,0,0,0,0,13,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\test\java\io\jenetics\ExponentialRankSelectorTest.java,io.jenetics.ExponentialRankSelectorTest,"expected/2[double[][],int]",false,98,1,1,1,0,2,1,7,1,2,2,1,0,0,1,0,0,0,0,3,3,2,1,0,0,0,4,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\test\java\io\jenetics\ExponentialRankSelectorTest.java,io.jenetics.ExponentialRankSelectorTest,isSorted/0,false,46,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\test\java\io\jenetics\ExponentialRankSelectorTest.java,io.jenetics.ExponentialRankSelectorTest,factory/0,false,51,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\test\java\io\jenetics\ExponentialRankSelectorTest.java,io.jenetics.ExponentialRankSelectorTest,writeDistributionData/1[io.jenetics.Optimize],false,111,3,3,1,2,1,3,9,0,4,1,3,0,0,0,0,0,0,0,9,3,0,1,0,0,1,24,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\test\java\io\jenetics\ExponentialRankSelectorTest.java,io.jenetics.ExponentialRankSelectorTest,main/1[java.lang.String[]],false,106,1,1,0,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\testFixtures\java\io\jenetics\testfixtures\stat\Cdf.java,io.jenetics.testfixtures.stat.Cdf,apply/1[double],false,29,0,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jenetics\jenetics\src\main\java\io\jenetics\internal\collection\BaseSeqSpliterator.java,io.jenetics.internal.collection.BaseSeqSpliterator,estimateSize/0,false,91,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,false
