file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\test\java\com\jstarcraft\ai\model\neuralnetwork\activation\SoftSignActivationFunctionTestCase.java,com.jstarcraft.ai.model.neuralnetwork.activation.SoftSignActivationFunctionTestCase,class,5,6,1,5,2,2,0,0,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\test\java\com\jstarcraft\ai\math\algorithm\lsh\ManhattanHashFamilyTestCase.java,com.jstarcraft.ai.math.algorithm.lsh.ManhattanHashFamilyTestCase,class,3,4,1,3,2,2,0,1,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\algorithm\decomposition\SingularValueDecomposition.java,com.jstarcraft.ai.math.algorithm.decomposition.SingularValueDecomposition,class,8,11,3,8,99,1,0,19,4,0.625,0.0,0.0,8,1,7,1,0,0,7,0,0,0,3,0,0,3,0,0,0,0,43,384,7,46,17,0,22,0,172,195,191,91,5,0,0,2,61,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\main\java\com\jstarcraft\ai\model\estimate\DiscreteEstimator.java,com.jstarcraft.ai.model.estimate.DiscreteEstimator,class,2,2,0,2,7,1,0,0,0,0.41666666,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,1,0,0,26,2,1,1,0,0,0,5,7,2,4,1,0,0,0,18,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-data\src\main\java\com\jstarcraft\ai\data\QuantityAccessor.java,com.jstarcraft.ai.data.QuantityAccessor,interface,0,6,6,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-environment\src\main\java\com\jstarcraft\ai\environment\Nd4jEnvironmentThreadFactory.java,com.jstarcraft.ai.environment.Nd4jEnvironmentThreadFactory,class,4,6,2,4,2,2,0,7,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,15,1,0,0,0,0,0,1,5,2,5,0,0,0,0,17,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-evaluate\src\test\java\com\jstarcraft\ai\evaluate\AbstractEvaluatorTestCase.java,com.jstarcraft.ai.evaluate.AbstractEvaluatorTestCase,class,10,13,3,10,10,1,0,18,15,0.0,0.0,0.0,6,0,1,1,4,0,5,4,0,0,0,0,0,0,0,0,0,0,1,35,1,3,0,0,0,0,11,15,3,15,3,0,0,0,42,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\structure\message\SumMessage.java,com.jstarcraft.ai.math.structure.message.SumMessage,class,3,7,4,3,6,1,0,2,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,23,2,0,0,0,0,0,1,6,0,3,1,0,0,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\test\java\com\jstarcraft\ai\math\algorithm\correlation\DistanceTestSuite.java,com.jstarcraft.ai.math.algorithm.correlation.DistanceTestSuite,class,12,13,1,12,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\main\java\com\jstarcraft\ai\model\neuralnetwork\activation\SigmoidActivationFunction.java,com.jstarcraft.ai.model.neuralnetwork.activation.SigmoidActivationFunction,class,11,12,1,11,29,1,0,18,6,0.33333334,0.0,0.0,9,0,9,0,0,0,9,0,0,0,1,0,0,1,0,0,0,0,8,99,6,0,3,0,14,2,10,28,13,20,3,0,0,4,42,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-data\src\main\java\com\jstarcraft\ai\modem\ModemCycle.java,com.jstarcraft.ai.modem.ModemCycle,interface,0,17,17,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\structure\matrix\DenseMatrix.java,com.jstarcraft.ai.math.structure.matrix.DenseMatrix,class,13,38,25,13,93,1,0,23,0,0.3548387,0.0,0.0,31,3,29,2,0,0,29,0,0,0,2,0,0,2,0,0,0,0,4,366,36,43,3,2,0,2,43,92,71,72,6,0,2,2,78,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\main\java\com\jstarcraft\ai\model\neuralnetwork\loss\MCXENTLossFunction.java,com.jstarcraft.ai.model.neuralnetwork.loss.MCXENTLossFunction,class,8,10,2,8,19,1,0,11,0,0.5,0.0,0.0,8,0,7,0,0,1,8,0,0,0,3,1,0,3,0,0,1,0,0,75,7,2,3,0,4,4,6,20,6,15,2,0,0,1,103,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-environment\src\main\java\com\jstarcraft\ai\environment\EnvironmentThread.java,com.jstarcraft.ai.environment.EnvironmentThread,class,2,12,10,2,3,2,2,2,3,0.0,0.0,0.0,3,1,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\test\java\com\jstarcraft\ai\math\algorithm\probability\ProbabilityTestSuite.java,com.jstarcraft.ai.math.algorithm.probability.ProbabilityTestSuite,class,6,6,0,6,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\algorithm\correlation\similarity\PCCSimilarity.java,com.jstarcraft.ai.math.algorithm.correlation.similarity.PCCSimilarity,class,6,8,2,6,5,2,0,7,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,34,3,2,1,0,2,0,7,21,9,12,1,0,0,0,31,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\main\java\com\jstarcraft\ai\model\neuralnetwork\layer\AbstractLayer.java,com.jstarcraft.ai.model.neuralnetwork.layer.AbstractLayer,class,14,20,6,14,27,1,1,27,11,0.6507937,0.0,0.0,14,1,11,0,3,0,14,0,0,0,7,0,0,0,7,0,0,0,0,126,14,1,9,0,2,12,4,32,5,32,3,0,0,2,71,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\test\java\com\jstarcraft\ai\model\neuralnetwork\activation\HardTanHActivationFunctionTestCase.java,com.jstarcraft.ai.model.neuralnetwork.activation.HardTanHActivationFunctionTestCase,class,5,6,1,5,2,2,0,0,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\test\java\com\jstarcraft\ai\math\algorithm\correlation\AbstractSimilarityTestCase.java,com.jstarcraft.ai.math.algorithm.correlation.AbstractSimilarityTestCase,class,1,10,9,1,4,2,9,0,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,3,0,0,0,0,0,0,0,11,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\structure\message\NormMessage.java,com.jstarcraft.ai.math.structure.message.NormMessage,class,3,5,2,3,6,1,0,3,0,0.4166667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,2,23,3,0,0,0,0,0,1,5,0,3,0,0,0,0,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-environment\src\main\java\com\jstarcraft\ai\environment\JavaEnvironmentThread.java,com.jstarcraft.ai.environment.JavaEnvironmentThread,class,2,3,1,2,2,3,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-evaluate\src\main\java\com\jstarcraft\ai\evaluate\ranking\NDCGEvaluator.java,com.jstarcraft.ai.evaluate.ranking.NDCGEvaluator,class,4,5,1,4,7,3,0,7,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,2,26,1,2,0,0,2,0,12,8,7,6,2,0,0,0,29,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-data\src\main\java\com\jstarcraft\ai\modem\ModemAccessor.java,com.jstarcraft.ai.modem.ModemAccessor,class,3,4,1,3,11,1,0,13,1,0.5,0.0,0.0,3,3,2,1,0,0,2,0,0,1,2,2,0,2,0,0,2,0,4,54,2,3,2,2,0,2,8,22,4,19,2,0,0,0,28,17,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\main\java\com\jstarcraft\ai\model\neuralnetwork\loss\MSELossFunction.java,com.jstarcraft.ai.model.neuralnetwork.loss.MSELossFunction,class,3,4,1,3,8,2,0,6,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,7,0,3,0,0,1,1,2,2,2,1,0,0,0,31,1,0
