file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\test\java\com\jstarcraft\ai\model\neuralnetwork\activation\SoftSignActivationFunctionTestCase.java,com.jstarcraft.ai.model.neuralnetwork.activation.SoftSignActivationFunctionTestCase,getNewFunction/0,false,17,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\test\java\com\jstarcraft\ai\model\neuralnetwork\activation\SoftSignActivationFunctionTestCase.java,com.jstarcraft.ai.model.neuralnetwork.activation.SoftSignActivationFunctionTestCase,getOldFunction/0,false,12,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\test\java\com\jstarcraft\ai\math\algorithm\lsh\ManhattanHashFamilyTestCase.java,com.jstarcraft.ai.math.algorithm.lsh.ManhattanHashFamilyTestCase,"getHashFamily/2[java.util.Random,int]",false,10,2,1,0,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\test\java\com\jstarcraft\ai\math\algorithm\lsh\ManhattanHashFamilyTestCase.java,com.jstarcraft.ai.math.algorithm.lsh.ManhattanHashFamilyTestCase,getRandomData/0,false,15,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\algorithm\decomposition\SingularValueDecomposition.java,com.jstarcraft.ai.math.algorithm.decomposition.SingularValueDecomposition,SingularValueDecomposition/1[com.jstarcraft.ai.math.structure.matrix.MathMatrix],true,41,7,12,2,10,88,16,338,0,82,1,16,1,1,45,17,0,20,0,160,186,180,5,0,0,2,45,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\algorithm\decomposition\SingularValueDecomposition.java,com.jstarcraft.ai.math.algorithm.decomposition.SingularValueDecomposition,getS/0,false,451,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\algorithm\decomposition\SingularValueDecomposition.java,com.jstarcraft.ai.math.algorithm.decomposition.SingularValueDecomposition,getCondition/0,false,469,1,1,0,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\algorithm\decomposition\SingularValueDecomposition.java,com.jstarcraft.ai.math.algorithm.decomposition.SingularValueDecomposition,getNorm/0,false,460,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\algorithm\decomposition\SingularValueDecomposition.java,com.jstarcraft.ai.math.algorithm.decomposition.SingularValueDecomposition,getU/0,false,443,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\algorithm\decomposition\SingularValueDecomposition.java,com.jstarcraft.ai.math.algorithm.decomposition.SingularValueDecomposition,getV/0,false,447,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\algorithm\decomposition\SingularValueDecomposition.java,com.jstarcraft.ai.math.algorithm.decomposition.SingularValueDecomposition,"hypot/2[float,float]",false,27,1,2,1,1,3,3,15,1,1,2,3,0,0,0,0,0,2,0,4,5,8,1,0,0,0,6,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\algorithm\decomposition\SingularValueDecomposition.java,com.jstarcraft.ai.math.algorithm.decomposition.SingularValueDecomposition,getOrder/0,false,478,1,2,0,2,3,4,11,1,3,0,4,0,0,1,0,0,0,0,5,4,1,2,0,0,0,7,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\main\java\com\jstarcraft\ai\model\estimate\DiscreteEstimator.java,com.jstarcraft.ai.model.estimate.DiscreteEstimator,"DiscreteEstimator/2[int,float]",true,15,1,0,0,0,2,0,8,0,1,2,0,0,0,1,0,0,0,0,1,5,1,1,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\main\java\com\jstarcraft\ai\model\estimate\DiscreteEstimator.java,com.jstarcraft.ai.model.estimate.DiscreteEstimator,getProbability/1[java.lang.Integer],false,31,0,0,0,0,2,0,6,2,0,1,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\main\java\com\jstarcraft\ai\model\estimate\DiscreteEstimator.java,com.jstarcraft.ai.model.estimate.DiscreteEstimator,"DiscreteEstimator/2[int,boolean]",true,11,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\main\java\com\jstarcraft\ai\model\estimate\DiscreteEstimator.java,com.jstarcraft.ai.model.estimate.DiscreteEstimator,"updateProbability/2[java.lang.Integer,float]",false,25,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-data\src\main\java\com\jstarcraft\ai\data\QuantityAccessor.java,com.jstarcraft.ai.data.QuantityAccessor,"accessorFeature/2[int,float]",false,11,0,4,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-environment\src\main\java\com\jstarcraft\ai\environment\Nd4jEnvironmentThreadFactory.java,com.jstarcraft.ai.environment.Nd4jEnvironmentThreadFactory,Nd4jEnvironmentThreadFactory/1[com.jstarcraft.ai.environment.EnvironmentContext],true,21,1,1,1,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-environment\src\main\java\com\jstarcraft\ai\environment\Nd4jEnvironmentThreadFactory.java,com.jstarcraft.ai.environment.Nd4jEnvironmentThreadFactory,newThread/1[java.lang.Runnable],false,27,1,1,0,1,1,4,7,1,3,1,4,0,0,0,0,0,0,0,1,3,2,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-evaluate\src\test\java\com\jstarcraft\ai\evaluate\AbstractEvaluatorTestCase.java,com.jstarcraft.ai.evaluate.AbstractEvaluatorTestCase,test/0,false,22,9,6,0,6,4,11,17,0,8,0,11,0,0,2,0,0,0,0,8,8,1,3,0,0,0,30,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-evaluate\src\test\java\com\jstarcraft\ai\evaluate\AbstractEvaluatorTestCase.java,com.jstarcraft.ai.evaluate.AbstractEvaluatorTestCase,getEvaluator/1[com.jstarcraft.ai.math.structure.matrix.SparseMatrix],false,17,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1028,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-evaluate\src\test\java\com\jstarcraft\ai\evaluate\AbstractEvaluatorTestCase.java,com.jstarcraft.ai.evaluate.AbstractEvaluatorTestCase,getRight/1[com.jstarcraft.ai.math.structure.vector.MathVector],false,42,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1028,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-evaluate\src\test\java\com\jstarcraft\ai\evaluate\AbstractEvaluatorTestCase.java,com.jstarcraft.ai.evaluate.AbstractEvaluatorTestCase,getMeasure/0,false,19,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1028,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-evaluate\src\test\java\com\jstarcraft\ai\evaluate\AbstractEvaluatorTestCase.java,com.jstarcraft.ai.evaluate.AbstractEvaluatorTestCase,getLeft/1[com.jstarcraft.ai.math.structure.vector.MathVector],false,40,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1028,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-evaluate\src\test\java\com\jstarcraft\ai\evaluate\AbstractEvaluatorTestCase.java,com.jstarcraft.ai.evaluate.AbstractEvaluatorTestCase,"evaluate/2[com.jstarcraft.ai.evaluate.Evaluator<L,R>,com.jstarcraft.ai.math.structure.matrix.SparseMatrix]",false,44,7,5,0,5,2,9,12,1,7,2,9,0,0,1,0,0,0,0,3,7,2,1,0,0,0,23,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\structure\message\SumMessage.java,com.jstarcraft.ai.math.structure.message.SumMessage,accumulateValue/1[float],false,36,0,3,3,0,2,1,6,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\structure\message\SumMessage.java,com.jstarcraft.ai.math.structure.message.SumMessage,detach/0,false,30,2,1,0,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\structure\message\SumMessage.java,com.jstarcraft.ai.math.structure.message.SumMessage,attach/1[com.jstarcraft.ai.math.structure.MathMessage],false,25,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\structure\message\SumMessage.java,com.jstarcraft.ai.math.structure.message.SumMessage,SumMessage/1[boolean],true,20,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-math\src\main\java\com\jstarcraft\ai\math\structure\message\SumMessage.java,com.jstarcraft.ai.math.structure.message.SumMessage,getValue/0,false,44,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\main\java\com\jstarcraft\ai\model\neuralnetwork\activation\SigmoidActivationFunction.java,com.jstarcraft.ai.model.neuralnetwork.activation.SigmoidActivationFunction,"backward/3[com.jstarcraft.ai.math.structure.vector.MathVector,com.jstarcraft.ai.math.structure.vector.MathVector,com.jstarcraft.ai.math.structure.vector.MathVector]",false,97,4,4,0,4,4,7,14,0,3,3,7,0,0,0,0,0,4,0,3,6,4,2,0,0,1,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\main\java\com\jstarcraft\ai\model\neuralnetwork\activation\SigmoidActivationFunction.java,com.jstarcraft.ai.model.neuralnetwork.activation.SigmoidActivationFunction,SigmoidActivationFunction/1[boolean],true,35,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\main\java\com\jstarcraft\ai\model\neuralnetwork\activation\SigmoidActivationFunction.java,com.jstarcraft.ai.model.neuralnetwork.activation.SigmoidActivationFunction,equals/1[java.lang.Object],false,112,0,0,0,0,4,1,14,4,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jstarcraft-ai\jstarcraft-ai-model\src\main\java\com\jstarcraft\ai\model\neuralnetwork\activation\SigmoidActivationFunction.java,com.jstarcraft.ai.model.neuralnetwork.activation.SigmoidActivationFunction,"backward/3[com.jstarcraft.ai.math.structure.matrix.MathMatrix,com.jstarcraft.ai.math.structure.matrix.MathMatrix,com.jstarcraft.ai.math.structure.matrix.MathMatrix]",false,73,7,6,0,6,7,13,24,0,7,3,13,0,0,0,0,0,4,0,3,10,4,3,0,0,1,20,1,0,false
