file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\graph\disk\FusedADC.java,io.github.jbellis.jvector.graph.disk.FusedADC,class,22,27,5,22,14,1,0,22,0,0.6666667,0.0,0.0,8,1,6,0,0,2,8,0,0,0,6,1,0,6,0,0,5,0,5,92,5,2,3,1,0,2,4,15,5,14,2,0,2,2,81,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\pq\QuickADCPQDecoder.java,io.github.jbellis.jvector.pq.QuickADCPQDecoder$CachingDecoder,innerclass,10,10,0,10,13,2,0,21,13,0.66666657,0.0,0.0,6,0,3,0,3,0,6,2,0,0,12,0,0,1,11,0,8,0,6,71,4,4,1,0,1,0,10,26,7,24,2,0,0,0,60,1036,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\disk\SimpleMappedReader.java,io.github.jbellis.jvector.disk.SimpleMappedReader,class,3,14,11,3,11,2,0,16,21,0.85714287,0.0,0.0,7,2,4,3,0,0,4,0,0,0,2,2,0,2,0,0,2,0,3,46,4,0,1,2,0,4,1,5,0,5,2,0,0,0,57,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\graph\disk\LVQ.java,io.github.jbellis.jvector.graph.disk.LVQ$PackedVectors,innerclass,7,7,0,7,3,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,19,1,0,0,1,0,0,0,5,0,5,1,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\graph\disk\CommonHeader.java,io.github.jbellis.jvector.graph.disk.CommonHeader,class,2,9,7,2,7,1,0,2,0,0.15,0.0,0.0,4,1,0,0,0,4,4,0,0,0,5,0,5,0,0,0,5,0,0,44,2,0,1,0,2,0,6,13,2,11,1,0,0,0,29,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\graph\disk\Feature.java,io.github.jbellis.jvector.graph.disk.Feature$State,interface,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-native\src\main\java\io\github\jbellis\jvector\vector\MemorySegmentByteSequence.java,io.github.jbellis.jvector.vector.MemorySegmentByteSequence,class,3,7,4,3,22,1,0,24,0,0.5555556,0.0,0.0,15,0,12,0,0,3,15,0,0,0,3,1,0,3,0,0,3,0,5,73,10,1,4,0,0,4,9,12,3,10,2,0,0,0,62,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\util\Constants.java,io.github.jbellis.jvector.util.Constants,class,0,0,0,0,7,1,0,2,0,0.0,NaN,NaN,1,0,0,1,0,0,1,0,0,0,3,3,3,0,0,0,3,0,3,28,0,0,3,1,0,6,0,9,0,5,2,0,0,0,38,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\pq\LocallyAdaptiveVectorQuantization.java,io.github.jbellis.jvector.pq.LocallyAdaptiveVectorQuantization,class,16,21,5,16,27,1,0,36,33,0.6,0.0,0.0,15,3,11,4,0,0,11,0,0,0,2,1,1,1,0,0,2,0,11,221,16,2,4,0,4,3,16,21,15,20,1,3,2,2,189,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-tests\src\test\java\io\github\jbellis\jvector\util\TestDenseIntMap.java,io.github.jbellis.jvector.util.TestDenseIntMap,class,5,6,1,5,14,2,0,20,10,0.0,0.0,0.0,5,1,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,78,0,8,0,1,1,6,30,17,9,19,5,0,0,2,34,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\pq\VectorCompressor.java,io.github.jbellis.jvector.pq.VectorCompressor,interface,7,23,16,7,9,1,0,5,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,2,17,2,0,0,0,0,0,1,0,0,0,0,0,0,0,71,1,0
