file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-examples\src\main\java\io\github\jbellis\jvector\example\Bench.java,io.github.jbellis.jvector.example.Bench$ResultSummary,"ResultSummary/2[int,long]",true,175,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\pq\QuickADCPQDecoder.java,io.github.jbellis.jvector.pq.QuickADCPQDecoder$CachingDecoder,decodedSimilarity/1[io.github.jbellis.jvector.vector.types.ByteSequence<?>],false,55,3,4,2,2,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\pq\QuickADCPQDecoder.java,io.github.jbellis.jvector.pq.QuickADCPQDecoder$CachingDecoder,"CachingDecoder/3[io.github.jbellis.jvector.pq.PQVectors,io.github.jbellis.jvector.vector.types.VectorFloat<?>,io.github.jbellis.jvector.vector.VectorSimilarityFunction]",true,39,5,6,0,6,3,6,14,0,8,3,6,0,0,1,1,0,0,0,3,9,1,1,0,0,0,22,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\disk\OnDiskADCGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskADCGraphIndex$OnDiskView,size/0,false,208,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\disk\OnDiskADCGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskADCGraphIndex$OnDiskView,reusableResults/0,false,199,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\disk\OnDiskADCGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskADCGraphIndex$OnDiskView,"approximateScoreFunctionFor/2[io.github.jbellis.jvector.vector.types.VectorFloat<?>,io.github.jbellis.jvector.vector.VectorSimilarityFunction]",false,195,4,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\disk\OnDiskADCGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskADCGraphIndex$OnDiskView,liveNodes/0,false,218,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\disk\OnDiskADCGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskADCGraphIndex$OnDiskView,close/0,false,223,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\disk\OnDiskADCGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskADCGraphIndex$OnDiskView,OnDiskView/1[io.github.jbellis.jvector.disk.RandomAccessReader],true,133,4,3,1,2,1,2,6,0,0,1,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jvector\jvector-base\src\main\java\io\github\jbellis\jvector\disk\OnDiskADCGraphIndex.java,io.github.jbellis.jvector.disk.OnDiskADCGraphIndex$OnDiskView,entryNode/0,false,213,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
