file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Weight_2$DeepLearning_model_R_1509973865970_1_Weight_2_0,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,2000,1000,0,0,0,0,0,0,14,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Bias_3$DeepLearning_model_R_1509973865970_1_Bias_3_0,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,100,50,0,0,0,0,0,0,12,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\Multiply.java,com.github.megachucky.kafka.streams.machinelearning.Multiply,class,3,3,0,3,6,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,2,0,0,14,0,0,4,0,0,0,0,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Weight_3$DeepLearning_model_R_1509973865970_1_Weight_3_0,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,2000,1000,0,0,0,0,0,0,13,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1,class,6,6,0,6,24,2,0,4,39,0.81250006,0.0,0.0,10,0,10,0,0,0,10,0,1,0,8,6,6,0,0,2,8,0,9,536,9,9,1,0,3,4,73,56,48,35,4,0,2,0,72,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1$NORMSUB$NORMSUB_0,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,420,210,0,0,0,0,0,0,10,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Bias_1$DeepLearning_model_R_1509973865970_1_Bias_1_0,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,100,50,0,0,0,0,0,0,11,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Bias_2$DeepLearning_model_R_1509973865970_1_Bias_2_0,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,40,20,0,0,0,0,0,0,12,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.NamesHolder_DeepLearning_model_R_1509973865970_1$NamesHolder_DeepLearning_model_R_1509973865970_1_0,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,210,210,210,0,0,0,0,0,0,12,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Bias_4$DeepLearning_model_R_1509973865970_1_Bias_4_0,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,420,210,0,0,0,0,0,0,12,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Weight_1$DeepLearning_model_R_1509973865970_1_Weight_1_0,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3004,0,0,0,0,0,0,6000,3000,0,0,0,0,0,0,13,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1$NORMMUL$NORMMUL_0,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,420,210,0,0,0,0,0,0,9,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Weight_1$DeepLearning_model_R_1509973865970_1_Weight_1_1,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3004,0,0,0,0,0,0,6000,3000,0,0,0,0,0,0,13,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Weight_1$DeepLearning_model_R_1509973865970_1_Weight_1_2,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3004,0,0,0,0,0,0,6000,3000,0,0,0,0,0,0,13,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1$NORMMUL,innerclass,2,2,0,2,1,1,0,1,0,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,220,0,0,0,0,0,0,1,1,0,1,0,0,1,0,10,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Weight_1$DeepLearning_model_R_1509973865970_1_Weight_1_3,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1504,0,0,0,0,0,0,3000,1500,0,0,0,0,0,0,13,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1$NORMSUB,innerclass,2,2,0,2,1,1,0,1,0,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,220,0,0,0,0,0,0,1,1,0,1,0,0,1,0,11,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\Anomaly.java,com.github.megachucky.kafka.streams.machinelearning.Anomaly,class,9,9,0,9,5,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,35,2,2,0,1,3,10,3,13,7,12,2,0,0,0,49,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Bias_0,class,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Bias_1,class,2,2,0,2,1,1,0,1,0,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,60,0,0,0,0,0,0,1,1,0,1,0,0,1,0,14,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ksql-udf-deep-learning-mqtt-iot\src\main\java\com\github\megachucky\kafka\streams\machinelearning\DeepLearning_model_R_1509973865970_1.java,io.confluent.ksql.function.udf.ml.DeepLearning_model_R_1509973865970_1_Bias_2,class,2,2,0,2,1,1,0,1,0,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,30,0,0,0,0,0,0,1,1,0,1,0,0,1,0,15,0,0
