file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\algorithms\active\observation-pack\src\test\java\de\learnlib\algorithm\observationpack\OPLearnerMealyGrowingAlphabetTest.java,de.learnlib.algorithm.observationpack.OPLearnerMealyGrowingAlphabetTest,class,4,4,0,4,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\examples\src\main\java\de\learnlib\example\Example3.java,de.learnlib.example.Example3$FullMembershipQueryOracle,innerclass,7,7,0,7,3,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,16,0,2,0,0,0,0,0,3,0,4,2,0,0,0,29,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\algorithms\active\kearns-vazirani\src\main\java\de\learnlib\algorithm\kv\dfa\KearnsVaziraniDFA.java,de.learnlib.algorithm.kv.dfa.KearnsVaziraniDFA$BuilderDefaults,innerclass,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\filters\cache\src\test\java\de\learnlib\filter\cache\mealy\MealyTreeMapperCacheTest.java,de.learnlib.filter.cache.mealy.MealyTreeMapperCacheTest,class,4,4,0,4,2,3,0,2,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\algorithms\active\procedural\src\test\java\de\learnlib\algorithm\procedural\spmm\it\SPMMIT.java,de.learnlib.algorithm.procedural.spmm.it.SPMMIT$Builder,innerclass,14,14,0,14,3,1,0,4,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,5,0,0,5,0,0,5,0,2,21,0,1,0,0,0,1,0,7,0,8,1,0,0,1,18,10,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\algorithms\active\adt\src\main\java\de\learnlib\algorithm\adt\api\LeafSplitter.java,de.learnlib.algorithm.adt.api.LeafSplitter,interface,5,10,5,5,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\filters\cache\src\main\java\de\learnlib\filter\cache\LearningCache.java,de.learnlib.filter.cache.LearningCache$MooreLearningCache,interface,4,4,0,4,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\filters\reuse\src\test\java\de\learnlib\filter\reuse\test\ReuseOracleTest.java,de.learnlib.filter.reuse.test.ReuseOracleTest,class,13,14,1,13,10,1,0,15,0,0.2,0.0,0.0,10,2,7,2,1,0,8,0,0,0,1,0,0,1,0,0,0,0,30,85,2,0,0,0,0,22,57,26,0,18,0,1,0,1,48,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\filters\reuse\src\main\java\de\learnlib\filter\reuse\tree\ReuseNode.java,de.learnlib.filter.reuse.tree.ReuseNode$NodeResult,innerclass,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,19,25,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\algorithms\active\observation-pack-vpa\src\test\java\de\learnlib\algorithm\observationpack\vpa\OPLearnerVPAIT.java,de.learnlib.algorithm.observationpack.vpa.OPLearnerVPAIT,class,7,7,0,7,2,2,0,6,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,1,0,1,1,1,1,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\api\src\main\java\de\learnlib\statistic\StatisticData.java,de.learnlib.statistic.StatisticData,interface,0,1,1,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
