file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\algorithms\active\observation-pack\src\test\java\de\learnlib\algorithm\observationpack\OPLearnerMealyGrowingAlphabetTest.java,de.learnlib.algorithm.observationpack.OPLearnerMealyGrowingAlphabetTest,"getLearner/2[de.learnlib.oracle.MembershipOracle.MealyMembershipOracle<java.lang.Character,java.lang.Character>,de.learnlib.algorithm.observationpack.Alphabet<java.lang.Character>]",false,29,3,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\examples\src\main\java\de\learnlib\example\Example3.java,de.learnlib.example.Example3$FullMembershipQueryOracle,"processQueries/1[java.util.Collection<? extends de.learnlib.example.Query<java.lang.String,de.learnlib.example.Word<java.lang.String>>>]",false,204,6,2,0,2,3,8,12,0,2,1,8,0,0,2,0,0,0,0,0,3,0,2,0,0,0,13,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\algorithms\active\kearns-vazirani\src\main\java\de\learnlib\algorithm\kv\dfa\KearnsVaziraniDFA.java,de.learnlib.algorithm.kv.dfa.KearnsVaziraniDFA$BuilderDefaults,BuilderDefaults/0,true,362,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\algorithms\active\kearns-vazirani\src\main\java\de\learnlib\algorithm\kv\dfa\KearnsVaziraniDFA.java,de.learnlib.algorithm.kv.dfa.KearnsVaziraniDFA$BuilderDefaults,counterexampleAnalyzer/0,false,370,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\algorithms\active\kearns-vazirani\src\main\java\de\learnlib\algorithm\kv\dfa\KearnsVaziraniDFA.java,de.learnlib.algorithm.kv.dfa.KearnsVaziraniDFA$BuilderDefaults,repeatedCounterexampleEvaluation/0,false,366,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\filters\cache\src\test\java\de\learnlib\filter\cache\mealy\MealyTreeMapperCacheTest.java,de.learnlib.filter.cache.mealy.MealyTreeMapperCacheTest,"getCache/1[de.learnlib.filter.cache.mealy.MealyMembershipOracle<java.lang.Character,java.lang.Integer>]",false,23,4,2,0,2,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\filters\cache\src\test\java\de\learnlib\filter\cache\mealy\MealyTreeMapperCacheTest.java,de.learnlib.filter.cache.mealy.MealyTreeMapperCacheTest,usesMapping/0,false,28,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\algorithms\active\procedural\src\test\java\de\learnlib\algorithm\procedural\spmm\it\SPMMIT.java,de.learnlib.algorithm.procedural.spmm.it.SPMMIT$Builder,"Builder/4[de.learnlib.algorithm.procedural.spmm.it.ProceduralInputAlphabet<I>,O,de.learnlib.oracle.MembershipOracle<I,de.learnlib.algorithm.procedural.spmm.it.Word<O>>,de.learnlib.algorithm.procedural.spmm.it.SPMMLearnerVariantList<I,O>]",true,75,6,0,0,0,1,1,7,0,0,4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\algorithms\active\procedural\src\test\java\de\learnlib\algorithm\procedural\spmm\it\SPMMIT.java,de.learnlib.algorithm.procedural.spmm.it.SPMMIT$Builder,"addLearnerVariant/1[de.learnlib.algorithm.LearnerConstructor<L,de.learnlib.algorithm.procedural.SymbolWrapper<I>,de.learnlib.algorithm.procedural.spmm.it.Word<O>>]",false,84,12,0,0,0,2,3,7,0,3,1,3,0,0,1,0,0,0,1,0,2,0,1,0,0,1,10,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\learnlib\algorithms\active\adt\src\main\java\de\learnlib\algorithm\adt\api\LeafSplitter.java,de.learnlib.algorithm.adt.api.LeafSplitter,"split/4[de.learnlib.algorithm.adt.adt.ADTNode<S,I,O>,de.learnlib.algorithm.adt.api.Word<I>,de.learnlib.algorithm.adt.api.Word<O>,de.learnlib.algorithm.adt.api.Word<O>]",false,27,5,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,true
