file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\gui\guichooser\DataViewerDefinition.java,meka.gui.guichooser.DataViewerDefinition,class,5,6,1,5,4,2,0,14,6,1.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,1,0,1,0,0,1,0,2,25,3,0,0,0,0,2,1,3,0,3,0,0,0,0,58,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\experiment\evaluationstatistics\IncrementalEvaluationStatisticsHandler.java,meka.experiment.evaluationstatistics.IncrementalEvaluationStatisticsHandler,interface,4,7,3,4,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\gui\dataviewer\DataViewerMainPanel.java,meka.gui.dataviewer.DataViewerMainPanel,class,15,20,5,15,135,5,0,143,1171,0.94912595,0.0,0.0,51,0,46,0,5,0,51,0,0,0,37,4,3,0,33,1,4,0,41,700,49,5,41,5,9,63,18,88,13,78,3,1,0,0,314,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\gui\modelviewer\renderers\AbstractObjectRenderer.java,meka.gui.modelviewer.renderers.AbstractObjectRenderer,class,2,7,5,2,23,1,3,27,26,0.875,0.0,0.0,8,5,5,0,3,0,9,2,0,3,4,4,0,1,3,0,1,0,6,90,8,3,6,3,0,7,6,15,3,11,3,0,0,0,77,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\experiment\statisticsexporters\AggregatedEvaluationStatisticsExporter.java,meka.experiment.statisticsexporters.AggregatedEvaluationStatisticsExporter,interface,2,3,1,2,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\classifiers\multilabel\meta\DeepML.java,meka.classifiers.multilabel.meta.DeepML,class,15,18,3,15,11,5,0,35,32,0.8518519,0.0,0.0,9,1,7,0,2,0,9,0,0,0,3,1,0,1,2,0,1,0,13,63,6,0,1,0,2,13,7,17,8,13,1,0,0,0,111,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\classifiers\multitarget\NSR.java,meka.classifiers.multitarget.NSR,class,15,20,5,15,33,5,2,55,66,1.0,0.0,0.0,12,3,11,0,1,0,12,0,0,0,1,1,0,1,0,0,1,0,20,120,9,9,0,1,1,16,22,34,9,29,4,1,0,0,114,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\experiment\statisticsexporters\MultiExporter.java,meka.experiment.statisticsexporters.MultiExporter,class,9,11,2,9,15,2,0,21,35,0.77272725,0.0,0.0,11,0,9,0,2,0,11,0,0,0,2,1,0,1,1,0,1,0,7,58,7,3,1,0,2,10,5,9,4,6,2,0,0,0,82,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\gui\core\SortableAndSearchableWrapperTableModel.java,meka.gui.core.SortableAndSearchableWrapperTableModel,class,8,11,3,8,89,2,0,50,449,0.8794117,0.0,0.0,34,0,27,0,7,0,34,0,0,1,10,1,0,1,9,0,1,0,2,320,29,8,24,2,13,1,21,66,2,34,5,1,1,0,245,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\gui\explorer\AbstractThreadedExplorerTab.java,meka.gui.explorer.AbstractThreadedExplorerTab,class,2,10,8,2,9,8,2,3,1,0.64285713,0.0,0.0,7,0,3,0,4,0,7,2,0,0,2,1,0,1,1,0,1,0,0,67,1,0,2,0,1,0,1,4,0,2,1,0,1,0,66,1025,0
