file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\gui\guichooser\DataViewerDefinition.java,meka.gui.guichooser.DataViewerDefinition,getGroup/0,false,46,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\gui\guichooser\DataViewerDefinition.java,meka.gui.guichooser.DataViewerDefinition,launch/0,false,74,4,7,0,7,1,14,13,0,2,0,14,1,1,0,0,0,0,0,0,2,0,0,0,0,0,21,4,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\gui\guichooser\DataViewerDefinition.java,meka.gui.guichooser.DataViewerDefinition,getName/0,false,56,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\gui\guichooser\DataViewerDefinition.java,meka.gui.guichooser.DataViewerDefinition,getIconName/0,false,66,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\experiment\evaluationstatistics\IncrementalEvaluationStatisticsHandler.java,meka.experiment.evaluationstatistics.IncrementalEvaluationStatisticsHandler,supportsIncrementalUpdate/0,false,37,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\experiment\evaluationstatistics\IncrementalEvaluationStatisticsHandler.java,meka.experiment.evaluationstatistics.IncrementalEvaluationStatisticsHandler,"retrieve/2[meka.classifiers.multilabel.MultiLabelClassifier,meka.experiment.evaluationstatistics.Instances]",false,54,3,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\experiment\evaluationstatistics\IncrementalEvaluationStatisticsHandler.java,meka.experiment.evaluationstatistics.IncrementalEvaluationStatisticsHandler,"requires/2[meka.classifiers.multilabel.MultiLabelClassifier,meka.experiment.evaluationstatistics.Instances]",false,44,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\experiment\evaluationstatistics\IncrementalEvaluationStatisticsHandler.java,meka.experiment.evaluationstatistics.IncrementalEvaluationStatisticsHandler,append/1[java.util.List<meka.experiment.evaluationstatistics.EvaluationStatistics>],false,63,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\gui\dataviewer\DataViewerMainPanel.java,meka.gui.dataviewer.DataViewerMainPanel,"setFilename/2[int,java.lang.String]",false,579,2,4,1,3,2,3,8,0,1,2,3,2,6,0,1,0,0,0,0,1,0,1,0,0,0,15,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\meka\src\main\java\meka\gui\dataviewer\DataViewerMainPanel.java,meka.gui.dataviewer.DataViewerMainPanel,toString/0,false,1169,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
