file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\test\java\moa\classifiers\trees\FIMTDDTest.java,moa.classifiers.trees.FIMTDDTest,class,7,8,1,7,4,5,0,3,6,0.0,0.0,0.0,4,2,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,15,2,0,0,0,0,0,1,0,0,0,0,0,0,0,44,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\classifiers\meta\DynamicWeightedMajority.java,moa.classifiers.meta.DynamicWeightedMajority,class,10,11,1,10,22,3,0,24,0,0.72222227,0.0,0.0,9,0,5,0,4,0,9,0,0,0,8,0,5,0,3,0,0,0,1,97,3,5,6,0,3,12,27,33,6,26,3,0,0,0,117,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\clusterers\clustree\util\Budget.java,moa.clusterers.clustree.util.Budget,interface,0,2,2,0,13,1,0,0,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\classifiers\lazy\neighboursearch\kdtrees\KMeansInpiredMethod.java,moa.classifiers.lazy.neighboursearch.kdtrees.KMeansInpiredMethod,class,9,10,1,9,41,2,0,13,15,1.0,0.0,0.0,6,3,2,1,3,0,5,0,0,0,1,1,0,1,0,0,1,0,6,124,3,10,10,0,17,26,28,58,48,27,5,0,0,0,209,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\gui\outliertab\OutlierTabPanel.java,moa.gui.outliertab.OutlierTabPanel$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\gui\outliertab\OutlierTabPanel.java,moa.gui.outliertab.OutlierTabPanel$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\classifiers\functions\NoChange.java,moa.classifiers.functions.NoChange,class,7,8,1,7,9,3,0,3,16,0.75,0.0,0.0,8,0,7,0,1,0,8,0,0,0,2,1,0,1,1,0,1,0,0,30,6,0,1,0,0,1,3,5,0,3,1,0,0,0,48,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\classifiers\trees\HoeffdingTree.java,moa.classifiers.trees.HoeffdingTree$LearningNodeNBAdaptive,innerclass,5,5,0,5,6,5,0,6,1,0.5555556,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,1,0,1,2,0,1,0,2,24,2,0,2,0,0,0,3,6,0,4,1,0,0,0,28,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\clusterers\streamkm\Point.java,moa.clusterers.streamkm.Point,class,5,12,7,5,26,1,0,4,0,0.35714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,8,0,0,0,0,8,0,0,0,138,6,8,7,0,7,0,36,64,20,31,3,0,0,0,54,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\recommender\rc\utils\SparseVector.java,moa.recommender.rc.utils.SparseVector,class,4,8,4,4,10,2,0,5,0,0.5555556,0.0,0.0,9,0,9,0,0,0,9,0,0,0,2,1,0,2,0,0,1,0,0,45,5,0,1,0,0,0,1,4,0,2,1,0,1,0,22,1,0
