file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\test\java\moa\classifiers\trees\FIMTDDTest.java,moa.classifiers.trees.FIMTDDTest,FIMTDDTest/1[java.lang.String],true,42,1,1,0,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\test\java\moa\classifiers\trees\FIMTDDTest.java,moa.classifiers.trees.FIMTDDTest,getRegressionClassifierSetups/0,false,53,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\test\java\moa\classifiers\trees\FIMTDDTest.java,moa.classifiers.trees.FIMTDDTest,suite/0,false,64,3,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\test\java\moa\classifiers\trees\FIMTDDTest.java,moa.classifiers.trees.FIMTDDTest,main/1[java.lang.String[]],false,73,2,2,0,2,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\classifiers\meta\DynamicWeightedMajority.java,moa.classifiers.meta.DynamicWeightedMajority,getVotesForInstance/1[com.yahoo.labs.samoa.instances.Instance],false,160,3,2,0,2,2,7,10,1,4,1,7,0,0,1,0,0,0,0,1,5,0,1,0,0,0,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\classifiers\meta\DynamicWeightedMajority.java,moa.classifiers.meta.DynamicWeightedMajority,scaleWeights/1[double],false,90,0,1,1,0,2,3,6,0,2,1,3,0,0,1,0,0,0,0,2,2,2,1,0,0,0,6,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\classifiers\meta\DynamicWeightedMajority.java,moa.classifiers.meta.DynamicWeightedMajority,removeExperts/0,false,97,1,2,1,1,3,5,8,0,1,0,5,0,0,1,0,0,0,0,2,1,1,2,0,0,0,3,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\classifiers\meta\DynamicWeightedMajority.java,moa.classifiers.meta.DynamicWeightedMajority,getModelMeasurementsImpl/0,false,172,1,0,0,0,2,1,8,1,1,0,1,0,0,0,1,0,0,1,2,3,0,1,0,0,0,7,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\classifiers\meta\DynamicWeightedMajority.java,moa.classifiers.meta.DynamicWeightedMajority,removeWeakestExpert/1[int],false,106,0,1,1,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\classifiers\meta\DynamicWeightedMajority.java,moa.classifiers.meta.DynamicWeightedMajority,trainOnInstanceImpl/1[com.yahoo.labs.samoa.instances.Instance],false,112,6,10,0,10,9,20,37,0,9,1,20,3,1,2,5,0,2,0,7,13,3,3,0,0,0,27,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\classifiers\meta\DynamicWeightedMajority.java,moa.classifiers.meta.DynamicWeightedMajority,"getModelDescription/2[java.lang.StringBuilder,int]",false,182,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\classifiers\meta\DynamicWeightedMajority.java,moa.classifiers.meta.DynamicWeightedMajority,resetLearningImpl/0,false,80,1,1,0,1,1,5,9,0,1,0,5,0,0,0,0,0,1,0,4,4,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\classifiers\meta\DynamicWeightedMajority.java,moa.classifiers.meta.DynamicWeightedMajority,isRandomizable/0,false,155,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\clusterers\clustree\util\Budget.java,moa.clusterers.clustree.util.Budget,hasMoreTime/0,false,33,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\clusterers\clustree\util\Budget.java,moa.clusterers.clustree.util.Budget,integerAddition/0,false,40,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\clusterers\clustree\util\Budget.java,moa.clusterers.clustree.util.Budget,integerDivision/0,false,92,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\clusterers\clustree\util\Budget.java,moa.clusterers.clustree.util.Budget,doubleMultiplication/1[int],false,85,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\clusterers\clustree\util\Budget.java,moa.clusterers.clustree.util.Budget,doubleAddition/0,false,53,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\clusterers\clustree\util\Budget.java,moa.clusterers.clustree.util.Budget,doubleAddition/1[int],false,59,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\clusterers\clustree\util\Budget.java,moa.clusterers.clustree.util.Budget,integerMultiplication/1[int],false,72,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\clusterers\clustree\util\Budget.java,moa.clusterers.clustree.util.Budget,doubleDivision/1[int],false,111,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\clusterers\clustree\util\Budget.java,moa.clusterers.clustree.util.Budget,integerAddition/1[int],false,46,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\moa\moa\src\main\java\moa\clusterers\clustree\util\Budget.java,moa.clusterers.clustree.util.Budget,integerMultiplication/0,false,66,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
