file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\futures\FutureMachine.java,ai.verta.modeldb.common.futures.FutureMachine,class,6,8,2,6,5,1,0,8,0,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,31,5,0,0,0,0,0,0,3,0,4,2,0,2,1,41,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\artifactStore\storageservice\s3\S3SignatureUtil.java,ai.verta.modeldb.common.artifactStore.storageservice.s3.S3SignatureUtil,class,5,6,1,5,6,2,0,15,4,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,3,0,0,3,0,0,3,0,3,32,3,0,0,1,0,8,0,6,0,6,1,0,0,0,55,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\futures\FutureRest.java,ai.verta.modeldb.common.futures.FutureRest,class,3,3,0,3,3,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,20,1,0,1,1,0,0,0,1,0,3,3,0,0,1,11,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\App.java,ai.verta.modeldb.App,class,7,20,13,7,4,1,0,4,1,0.75,0.0,0.0,2,2,2,0,0,0,2,0,0,0,2,1,1,1,0,0,0,0,1,21,1,0,1,0,0,5,0,4,0,4,1,0,0,0,23,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\BlobFunction.java,ai.verta.modeldb.versioning.BlobFunction,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\exceptions\InternalErrorException.java,ai.verta.modeldb.common.exceptions.InternalErrorException,class,1,16,15,1,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\entities\QueryParameterEntity.java,ai.verta.modeldb.entities.QueryParameterEntity,class,12,16,4,12,15,1,0,19,59,0.80612236,0.0,0.0,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,2,59,7,0,0,0,0,10,2,9,0,8,1,0,0,0,29,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\db\migration\MigrationException.java,ai.verta.modeldb.common.db.migration.MigrationException,class,0,2,2,0,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\reconcilers\ReconcilerConfig.java,ai.verta.modeldb.common.reconcilers.ReconcilerConfig,class,1,11,10,1,10,1,0,0,23,0.74,0.0,0.0,10,1,10,0,0,0,10,0,0,0,5,0,0,5,0,0,1,0,0,71,6,0,0,0,0,0,4,12,0,5,0,0,1,0,26,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\test\java\ai\verta\modeldb\versioning\blob\visitors\ValidatorBlobTest.java,ai.verta.modeldb.versioning.blob.visitors.ValidatorBlobTest,class,11,12,1,11,5,1,0,36,1,0.7619048,0.0,0.0,3,1,3,0,0,0,3,0,0,0,7,6,0,7,0,0,7,0,0,29,1,1,0,1,0,10,3,8,0,8,1,0,0,0,39,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\blob\container\EnvironmentContainer.java,ai.verta.modeldb.versioning.blob.container.EnvironmentContainer,class,22,24,2,22,28,2,0,58,19,0.8095238,0.0,0.0,7,0,3,4,0,0,3,0,0,0,3,2,2,1,0,0,3,0,7,141,3,9,5,0,2,22,3,31,2,30,3,0,0,0,76,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\blob\factory\CodeBlobFactory.java,ai.verta.modeldb.versioning.blob.factory.CodeBlobFactory,class,9,10,1,9,6,2,0,18,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,31,1,0,2,0,0,1,2,5,0,5,3,0,0,0,31,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\autogenerated\_public\modeldb\versioning\model\AutogenPathDatasetComponentDiff.java,ai.verta.modeldb.versioning.autogenerated._public.modeldb.versioning.model.AutogenPathDatasetComponentDiff,class,11,23,12,11,80,1,0,40,28,0.55,0.0,0.0,20,1,20,0,0,0,20,0,0,0,4,0,0,4,0,0,0,0,10,216,41,0,39,0,1,11,0,31,4,39,3,0,0,12,59,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\futures\HandleCallback.java,ai.verta.modeldb.common.futures.HandleCallback,interface,2,6,4,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\experimentRun\subtypes\FeatureHandler.java,ai.verta.modeldb.experimentRun.subtypes.FeatureHandler,class,11,14,3,11,10,1,0,23,0,0.35714287,0.0,0.0,4,0,3,1,0,0,3,0,0,0,7,3,0,7,0,0,6,0,2,55,4,2,0,3,0,20,0,13,5,15,2,0,0,2,58,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\common\src\main\java\ai\verta\modeldb\common\subtypes\MapSubtypes.java,ai.verta.modeldb.common.subtypes.MapSubtypes,class,3,13,10,3,5,1,0,7,1,0.33333334,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,22,2,1,0,0,0,0,0,6,0,6,2,0,0,1,13,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modeldb\backend\server\src\main\java\ai\verta\modeldb\versioning\blob\diff\DiffComputer.java,ai.verta.modeldb.versioning.blob.diff.DiffComputer,class,50,54,4,50,114,1,0,155,325,0.0,0.0,0.0,26,26,25,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,66,149,61,0,62,0,24,0,2,9,2,21,3,0,0,11,53,1,0
