file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\core\src\main\java\eu\modernmt\cluster\services\TranslationService.java,eu.modernmt.cluster.services.TranslationService,class,5,7,2,5,6,1,0,2,7,0.72222227,0.0,0.0,6,0,5,0,0,1,6,0,0,0,3,1,1,2,0,0,1,0,1,22,2,0,0,0,0,1,0,3,0,3,0,0,0,0,71,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\decoder-neural\src\main\java\eu\modernmt\decoder\neural\queue\PythonProcess.java,eu.modernmt.decoder.neural.queue.PythonProcess$StdoutThread,innerclass,2,2,0,2,13,3,0,8,0,0.4166667,0.0,0.0,6,0,4,0,2,0,6,0,0,0,2,0,0,2,0,0,2,0,0,35,5,0,4,1,0,0,1,3,0,3,1,0,0,0,29,2,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\commons\src\main\java\eu\modernmt\data\HostUnreachableException.java,eu.modernmt.data.HostUnreachableException,class,1,2,1,1,1,4,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,11,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\commons\src\main\java\eu\modernmt\io\FileSystemUtils.java,eu.modernmt.io.FileSystemUtils,class,2,4,2,2,4,1,0,14,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,2,0,1,0,3,1,2,2,0,0,0,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\core\src\main\java\eu\modernmt\api\model\TranslationResponse.java,eu.modernmt.api.model.TranslationResponse,class,3,6,3,3,2,1,0,1,1,0.8,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,0,4,1,0,0,2,0,2,13,1,0,0,0,0,0,0,5,1,5,0,0,0,0,20,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\command-line\src\main\java\eu\modernmt\cli\BackupDaemonMain.java,eu.modernmt.cli.BackupDaemonMain$Command,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\command-line\src\main\java\eu\modernmt\cli\ExtractTMXSampleMain.java,eu.modernmt.cli.ExtractTMXSampleMain$Args,innerclass,7,7,0,7,4,1,0,10,0,0.0,0.0,0.0,1,0,1,0,0,0,2,0,0,0,6,1,5,1,0,0,6,0,4,34,0,0,0,0,0,14,2,16,0,16,0,0,0,0,26,10,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\textprocessing\src\main\java\eu\modernmt\processing\splitter\SentenceSplit.java,eu.modernmt.processing.splitter.SentenceSplit,class,4,5,1,4,8,1,0,10,0,0.38888893,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,0,35,3,0,0,0,1,0,2,6,1,6,2,0,0,0,16,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\textprocessing\src\main\java\eu\modernmt\processing\tokenizer\impl\TagalogTokenizer.java,eu.modernmt.processing.tokenizer.impl.TagalogTokenizer,class,3,4,1,3,1,3,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\textprocessing\src\main\java\eu\modernmt\processing\transliteration\AlphabetPostprocessor.java,eu.modernmt.processing.transliteration.AlphabetPostprocessor,class,5,5,0,5,5,2,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,13,1,1,0,0,0,0,0,1,0,1,2,0,0,0,12,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\commons\src\main\java\eu\modernmt\config\xml\XMLEngineConfigBuilder.java,eu.modernmt.config.xml.XMLEngineConfigBuilder,class,13,15,2,13,22,5,0,23,4,0.5,0.0,0.0,4,1,2,2,0,0,2,0,0,0,3,0,0,3,0,0,3,0,11,112,4,2,11,1,0,26,0,17,1,15,3,0,3,0,56,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\textprocessing\src\main\java\eu\modernmt\cleaning\FilteredCorpus.java,eu.modernmt.cleaning.FilteredCorpus,class,11,13,2,11,11,2,0,12,8,0.625,0.0,0.0,8,0,7,1,0,0,7,0,0,0,3,0,0,3,0,0,3,0,0,70,4,1,3,1,1,0,1,10,0,8,4,1,0,0,31,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\command-line\src\main\java\eu\modernmt\cli\ConvertMain.java,eu.modernmt.cli.ConvertMain$Anonymous1,anonymous,3,3,0,3,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\commons\src\main\java\eu\modernmt\xml\IndentingXMLStreamWriter.java,eu.modernmt.xml.IndentingXMLStreamWriter,class,3,5,2,3,27,2,0,23,162,0.84353745,0.0,0.0,21,0,17,4,0,0,17,0,0,0,7,3,0,7,0,0,3,0,0,104,1,2,1,0,0,7,6,16,0,9,2,0,0,0,99,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\commons\src\test\java\eu\modernmt\lang\LanguageIndexTest.java,eu.modernmt.lang.LanguageIndexTest,class,8,9,1,8,23,1,0,21,153,0.0,0.0,0.0,18,5,13,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,311,198,5,5,0,0,0,349,5,22,0,19,1,0,0,0,78,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\contextanalyzer-lucene\src\main\java\eu\modernmt\context\lucene\analysis\CorpusContentField.java,eu.modernmt.context.lucene.analysis.CorpusContentField,class,3,4,1,3,4,2,0,5,0,0.0,0.0,0.0,3,0,3,0,0,0,4,0,0,0,1,1,1,0,0,0,1,0,0,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,21,1,0
