file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\core\src\main\java\eu\modernmt\cluster\services\TranslationService.java,eu.modernmt.cluster.services.TranslationService,destroyDistributedObject/1[java.lang.String],false,59,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\core\src\main\java\eu\modernmt\cluster\services\TranslationService.java,eu.modernmt.cluster.services.TranslationService,createDistributedObject/1[java.lang.String],false,54,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\core\src\main\java\eu\modernmt\cluster\services\TranslationService.java,eu.modernmt.cluster.services.TranslationService,shutdown/1[boolean],false,46,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\core\src\main\java\eu\modernmt\cluster\services\TranslationService.java,eu.modernmt.cluster.services.TranslationService,getExecutor/0,false,36,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\core\src\main\java\eu\modernmt\cluster\services\TranslationService.java,eu.modernmt.cluster.services.TranslationService,reset/0,false,41,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\core\src\main\java\eu\modernmt\cluster\services\TranslationService.java,eu.modernmt.cluster.services.TranslationService,"init/2[eu.modernmt.cluster.services.NodeEngine,java.util.Properties]",false,31,1,0,0,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\decoder-neural\src\main\java\eu\modernmt\decoder\neural\queue\PythonProcess.java,eu.modernmt.decoder.neural.queue.PythonProcess$StdoutThread,onIOException/1[java.io.IOException],false,190,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\decoder-neural\src\main\java\eu\modernmt\decoder\neural\queue\PythonProcess.java,eu.modernmt.decoder.neural.queue.PythonProcess$StdoutThread,onLineRead/1[java.lang.String],false,195,0,0,0,0,2,2,4,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,14,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\decoder-neural\src\main\java\eu\modernmt\decoder\neural\queue\PythonProcess.java,eu.modernmt.decoder.neural.queue.PythonProcess$StdoutThread,StdoutThread/1[java.io.InputStream],true,184,0,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\decoder-neural\src\main\java\eu\modernmt\decoder\neural\queue\PythonProcess.java,eu.modernmt.decoder.neural.queue.PythonProcess$StdoutThread,readLine/0,false,202,1,2,1,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\decoder-neural\src\main\java\eu\modernmt\decoder\neural\queue\PythonProcess.java,eu.modernmt.decoder.neural.queue.PythonProcess$StdoutThread,interrupt/0,false,228,0,1,1,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\modernmt\src\decoder-neural\src\main\java\eu\modernmt\decoder\neural\queue\PythonProcess.java,eu.modernmt.decoder.neural.queue.PythonProcess$StdoutThread,"readLine/2[long,java.util.concurrent.TimeUnit]",false,206,0,2,2,0,7,3,13,4,1,2,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,16,1,0,false
