file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\dsl\result\WorkflowTaskResult.java,com.graphaware.nlp.dsl.result.WorkflowTaskResult,class,2,3,1,2,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,6,0,6,0,0,0,0,0,0,16,0,0,0,0,0,0,0,6,0,6,0,0,0,0,10,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\ml\word2vec\Word2VecProcessor.java,com.graphaware.nlp.ml.word2vec.Word2VecProcessor,class,21,27,6,21,22,2,0,56,3,0.7,0.0,0.0,10,0,7,3,0,0,7,0,0,0,3,2,0,3,0,0,2,0,4,111,9,1,7,1,0,16,5,22,4,23,5,0,0,3,85,1,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\test\java\com\graphaware\nlp\dsl\function\ParserFunctionsTest.java,com.graphaware.nlp.dsl.function.ParserFunctionsTest,class,2,2,0,2,1,3,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,1,3,0,3,0,4,1,0,0,1,26,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\dsl\request\RequestConstants.java,com.graphaware.nlp.dsl.request.RequestConstants,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,31,31,31,0,0,0,31,0,0,33,0,0,0,0,0,31,0,31,0,31,0,0,0,0,27,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\test\java\com\graphaware\nlp\enrich\conceptnet5\ConceptNet5ImporterTest.java,com.graphaware.nlp.enrich.conceptnet5.ConceptNet5ImporterTest,class,7,7,0,7,6,1,0,2,15,0.0,0.0,0.0,6,2,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,5,1,5,3,3,0,0,0,0,20,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\workflow\task\TaskManager.java,com.graphaware.nlp.workflow.task.TaskManager,class,5,8,3,5,9,1,0,20,11,0.72222227,0.0,0.0,6,1,3,3,0,0,3,0,0,0,3,1,0,3,0,0,3,0,4,46,3,0,2,0,0,2,2,4,1,4,2,0,1,1,38,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\processor\TextProcessorsManager.java,com.graphaware.nlp.processor.TextProcessorsManager$PipelineCreationResult,innerclass,0,0,0,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,7,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\test\java\com\graphaware\nlp\domain\TagUnitTest.java,com.graphaware.nlp.domain.TagUnitTest,class,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,1,0,1,0,0,0,0,11,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\enrich\microsoft\MicrosoftConteptImporter.java,com.graphaware.nlp.enrich.microsoft.MicrosoftConteptImporter,class,7,8,1,7,3,2,0,19,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,27,2,0,0,1,0,5,0,9,1,9,1,0,0,1,43,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\workflow\input\WorkflowInput.java,com.graphaware.nlp.workflow.input.WorkflowInput,class,5,9,4,5,2,3,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,23,1025,0
