file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\dsl\result\WorkflowTaskResult.java,com.graphaware.nlp.dsl.result.WorkflowTaskResult,WorkflowTaskResult/1[com.graphaware.nlp.workflow.task.WorkflowTask],true,19,2,8,1,7,1,8,8,0,0,1,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\ml\word2vec\Word2VecProcessor.java,com.graphaware.nlp.ml.word2vec.Word2VecProcessor,getWord2VecModel/0,false,125,1,16,16,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\ml\word2vec\Word2VecProcessor.java,com.graphaware.nlp.ml.word2vec.Word2VecProcessor,getWord2VecDimension/1[java.lang.String],false,129,2,2,0,2,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\ml\word2vec\Word2VecProcessor.java,com.graphaware.nlp.ml.word2vec.Word2VecProcessor,"getNearestNeighbors/3[java.lang.String,java.lang.Integer,java.lang.String]",false,117,3,3,1,2,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\ml\word2vec\Word2VecProcessor.java,com.graphaware.nlp.ml.word2vec.Word2VecProcessor,postLoaded/0,false,50,1,2,0,2,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\ml\word2vec\Word2VecProcessor.java,com.graphaware.nlp.ml.word2vec.Word2VecProcessor,"getWord2Vec/2[java.lang.String,java.lang.String]",false,113,2,8,7,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\ml\word2vec\Word2VecProcessor.java,com.graphaware.nlp.ml.word2vec.Word2VecProcessor,attach/1[com.graphaware.nlp.dsl.request.Word2VecRequest],false,55,11,23,1,22,11,38,64,1,13,1,38,3,1,1,6,1,0,6,4,12,2,5,0,0,3,41,1,2,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\ml\word2vec\Word2VecProcessor.java,com.graphaware.nlp.ml.word2vec.Word2VecProcessor,getProcessor/1[java.lang.String],false,131,3,5,1,4,3,5,10,2,1,1,5,0,0,0,1,0,0,2,1,1,1,2,0,0,0,9,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\ml\word2vec\Word2VecProcessor.java,com.graphaware.nlp.ml.word2vec.Word2VecProcessor,getByQuery/1[java.lang.String],false,156,4,2,1,1,1,3,6,1,3,1,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,11,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\neo4j-nlp\src\main\java\com\graphaware\nlp\ml\word2vec\Word2VecProcessor.java,com.graphaware.nlp.ml.word2vec.Word2VecProcessor,computeNearestNeighbors/1[java.lang.String],false,121,2,3,1,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
