file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\ann\FileFormat.java,org.ojalgo.ann.FileFormat,class,4,5,1,4,7,1,0,9,0,0.0,0.0,0.0,2,2,0,0,0,2,2,0,0,0,1,1,0,1,0,0,1,0,4,122,2,0,0,0,0,4,0,3,0,3,1,0,2,0,22,1024,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\type\context\BooleanContext.java,org.ojalgo.type.context.BooleanContext,class,3,4,1,3,8,2,0,1,21,0.85714287,0.0,0.0,7,0,3,1,3,0,6,0,0,0,1,1,0,1,0,0,1,0,1,29,4,0,1,0,0,1,0,1,0,1,1,0,0,0,27,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\function\PredicateFunction.java,org.ojalgo.function.PredicateFunction$Anonymous1,anonymous,2,2,0,2,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\test\java\org\ojalgo\matrix\SimpleCholeskyCase.java,org.ojalgo.matrix.SimpleCholeskyCase,class,9,14,5,9,6,3,0,17,3,0.33333334,0.0,0.0,6,3,4,2,0,0,4,0,0,0,1,1,0,1,0,0,1,0,11,40,3,0,0,0,0,0,31,16,0,9,0,0,0,0,55,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\matrix\decomposition\LUDecomposition.java,org.ojalgo.matrix.decomposition.LUDecomposition,class,20,26,6,20,46,24,0,66,279,0.6666667,0.0,0.0,27,0,23,1,2,1,26,0,0,0,1,0,0,1,0,0,1,0,2,205,26,4,3,0,0,0,10,34,1,32,3,0,5,0,98,1024,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\test\java\org\ojalgo\matrix\decomposition\PrimitiveOrRawCholesky.java,org.ojalgo.matrix.decomposition.PrimitiveOrRawCholesky,class,13,14,1,13,6,2,0,6,3,0.44444445,0.0,0.0,6,1,4,0,2,0,6,0,0,0,3,0,1,0,0,2,0,0,1,28,4,0,0,0,0,7,0,3,0,4,0,0,0,0,33,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\test\java\org\ojalgo\data\transform\DFTBenchmark.java,org.ojalgo.data.transform.DFTBenchmark,class,13,14,1,13,4,1,0,6,0,0.25,0.0,0.0,4,1,4,0,0,0,4,0,0,0,4,0,1,0,0,3,0,0,2,21,2,0,0,0,0,9,3,4,0,5,0,0,0,0,25,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\optimisation\linear\SimplexTableau.java,org.ojalgo.optimisation.linear.SimplexTableau,class,16,23,7,16,21,2,2,3,153,0.9444444,0.0,0.0,18,0,0,0,0,18,18,10,7,0,4,0,0,3,0,1,1,0,0,49,3,0,3,0,0,0,0,7,0,4,1,0,1,0,77,1024,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\type\function\AutoFunctional.java,org.ojalgo.type.function.AutoFunctional,interface,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\matrix\store\SuperimposedStore.java,org.ojalgo.matrix.store.SuperimposedStore,class,11,13,2,11,21,4,0,23,61,0.67142856,0.0,0.0,14,0,10,2,0,2,12,0,0,0,5,0,0,5,0,0,5,0,6,69,10,0,0,0,0,0,2,13,8,10,1,0,0,0,35,16,0
