file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\ann\FileFormat.java,org.ojalgo.ann.FileFormat,"read/2[org.ojalgo.matrix.store.PhysicalStore.Factory<java.lang.Double,?>,java.io.DataInput]",false,186,4,4,2,2,4,5,15,2,2,2,5,0,0,0,0,0,0,2,0,2,0,1,0,0,0,12,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\ann\FileFormat.java,org.ojalgo.ann.FileFormat,"write/3[org.ojalgo.ann.ArtificialNeuralNetwork,int,java.io.DataOutput]",false,205,3,3,1,2,3,4,14,0,0,3,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\type\context\BooleanContext.java,org.ojalgo.type.context.BooleanContext,"configureFormat/2[java.text.Format,java.lang.Object]",false,59,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\type\context\BooleanContext.java,org.ojalgo.type.context.BooleanContext,"handleFormatException/2[java.text.Format,java.lang.Object]",false,64,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\type\context\BooleanContext.java,org.ojalgo.type.context.BooleanContext,BooleanContext/0,true,36,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\type\context\BooleanContext.java,org.ojalgo.type.context.BooleanContext,"handleParseException/2[java.text.Format,java.lang.String]",false,69,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\type\context\BooleanContext.java,org.ojalgo.type.context.BooleanContext,enforce/1[java.lang.Boolean],false,50,0,0,0,0,2,0,8,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\type\context\BooleanContext.java,org.ojalgo.type.context.BooleanContext,"BooleanContext/2[java.lang.String,java.lang.String]",true,40,1,1,0,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\type\context\BooleanContext.java,org.ojalgo.type.context.BooleanContext,BooleanContext/1[java.text.Format],true,44,1,1,0,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\function\PredicateFunction.java,org.ojalgo.function.PredicateFunction$Anonymous1,invoke/1[double],false,56,1,5,0,5,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ojAlgo\src\main\java\org\ojalgo\function\PredicateFunction.java,org.ojalgo.function.PredicateFunction$Anonymous1,invoke/1[float],false,60,1,3,0,3,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
