file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\Streams.java,com.hanuor.onyx.toolbox.gson.internal.Streams$AppendableWriter,innerclass,2,2,0,2,5,2,0,2,4,0.6,0.0,0.0,5,0,4,0,0,1,5,0,0,0,2,0,0,2,0,0,2,0,0,30,0,0,0,0,0,0,0,3,1,2,0,0,1,0,25,26,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\$Gson$Types.java,com.hanuor.onyx.toolbox.gson.internal.$Gson$Types$ParameterizedTypeImpl,innerclass,2,2,0,2,12,1,0,15,0,0.5714286,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,1,0,4,0,0,4,0,13,48,7,2,4,0,1,3,7,10,2,9,1,0,0,0,44,26,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\helper\RecognitionResult.java,com.hanuor.onyx.helper.RecognitionResult$VideoResultMessage,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\ConstructorConstructor.java,com.hanuor.onyx.toolbox.gson.internal.ConstructorConstructor,class,6,12,6,6,23,1,0,23,9,0.5,0.0,0.0,6,0,3,3,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,182,20,0,4,1,2,3,1,8,0,8,2,14,0,0,44,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\TypeAdapter.java,com.hanuor.onyx.toolbox.gson.TypeAdapter$Anonymous1,anonymous,4,4,0,4,4,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,2,0,0,0,0,0,0,0,1,0,0,0,12,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\bind\TypeAdapters.java,com.hanuor.onyx.toolbox.gson.internal.bind.TypeAdapters$Anonymous2,anonymous,4,4,0,4,12,1,0,15,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,53,3,2,5,1,1,2,6,10,2,7,3,0,0,0,27,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\bind\TypeAdapters.java,com.hanuor.onyx.toolbox.gson.internal.bind.TypeAdapters$Anonymous1,anonymous,2,2,0,2,4,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,2,0,0,3,0,0,1,0,1,0,0,0,21,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\bind\TypeAdapters.java,com.hanuor.onyx.toolbox.gson.internal.bind.TypeAdapters$Anonymous4,anonymous,2,2,0,2,4,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,12,2,0,2,0,0,1,0,0,0,0,1,0,0,0,12,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\TypeAdapterFactory.java,com.hanuor.onyx.toolbox.gson.TypeAdapterFactory,interface,4,19,15,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\app\src\androidTest\java\com\hanuor\onyx_sample\ApplicationTest.java,com.hanuor.onyx_sample.ApplicationTest,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\bind\TypeAdapters.java,com.hanuor.onyx.toolbox.gson.internal.bind.TypeAdapters$Anonymous3,anonymous,2,2,0,2,4,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,15,3,0,2,0,0,0,0,0,0,0,1,0,0,0,12,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\bind\TypeAdapters.java,com.hanuor.onyx.toolbox.gson.internal.bind.TypeAdapters$Anonymous6,anonymous,3,3,0,3,4,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,1,1,0,0,0,0,0,0,1,0,0,0,15,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\bind\TypeAdapters.java,com.hanuor.onyx.toolbox.gson.internal.bind.TypeAdapters$Anonymous5,anonymous,3,3,0,3,4,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,1,1,0,0,0,1,0,1,1,0,0,0,17,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\bind\TypeAdapters.java,com.hanuor.onyx.toolbox.gson.internal.bind.TypeAdapters$Anonymous8,anonymous,3,3,0,3,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,1,0,0,0,0,0,0,1,0,0,0,16,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\bind\TypeAdapters.java,com.hanuor.onyx.toolbox.gson.internal.bind.TypeAdapters$Anonymous7,anonymous,3,3,0,3,4,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,1,1,0,0,0,0,0,0,1,0,0,0,15,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\bind\TypeAdapters.java,com.hanuor.onyx.toolbox.gson.internal.bind.TypeAdapters$Anonymous9,anonymous,2,2,0,2,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\bind\JsonTreeReader.java,com.hanuor.onyx.toolbox.gson.internal.bind.JsonTreeReader,class,9,12,3,9,67,2,0,33,4,0.7083333,0.0,0.0,24,0,19,5,0,0,19,0,0,0,6,2,0,6,0,0,2,0,5,251,22,1,16,0,6,15,40,44,25,33,4,1,0,0,99,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\bind\TreeTypeAdapter.java,com.hanuor.onyx.toolbox.gson.internal.bind.TreeTypeAdapter$GsonContextImpl,innerclass,5,5,0,5,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,18,18,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\LinkedTreeMap.java,com.hanuor.onyx.toolbox.gson.internal.LinkedTreeMap$LinkedTreeMapIterator,innerclass,5,5,0,5,8,1,0,1,2,0.5,0.0,0.0,4,0,2,0,0,2,4,0,3,0,3,0,0,0,0,3,0,0,0,29,2,0,4,0,0,0,0,8,0,4,1,0,0,0,27,1026,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\helper\RecognitionRequest.java,com.hanuor.onyx.helper.RecognitionRequest,class,5,11,6,5,29,2,0,22,32,0.7291667,0.0,0.0,16,1,13,1,0,2,15,0,0,0,6,0,0,6,0,0,4,0,1,144,12,6,2,1,0,17,4,15,1,12,3,0,1,0,152,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\JsonElement.java,com.hanuor.onyx.toolbox.gson.JsonElement,class,7,37,30,7,28,1,4,9,253,0.0,0.0,0.0,23,0,21,0,0,2,23,1,0,0,0,0,0,0,0,0,0,0,1,90,9,0,0,1,0,4,0,2,1,2,1,0,0,0,118,1025,0
