file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\Streams.java,com.hanuor.onyx.toolbox.gson.internal.Streams$AppendableWriter,flush/0,false,101,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\Streams.java,com.hanuor.onyx.toolbox.gson.internal.Streams$AppendableWriter,AppendableWriter/1[java.lang.Appendable],true,88,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\Streams.java,com.hanuor.onyx.toolbox.gson.internal.Streams$AppendableWriter,"write/3[char[],int,int]",false,92,1,0,0,0,1,1,4,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\Streams.java,com.hanuor.onyx.toolbox.gson.internal.Streams$AppendableWriter,close/0,false,102,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\Streams.java,com.hanuor.onyx.toolbox.gson.internal.Streams$AppendableWriter,write/1[int],false,97,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\$Gson$Types.java,com.hanuor.onyx.toolbox.gson.internal.$Gson$Types$ParameterizedTypeImpl,getOwnerType/0,false,469,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\$Gson$Types.java,com.hanuor.onyx.toolbox.gson.internal.$Gson$Types$ParameterizedTypeImpl,getRawType/0,false,465,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\$Gson$Types.java,com.hanuor.onyx.toolbox.gson.internal.$Gson$Types$ParameterizedTypeImpl,toString/0,false,484,1,1,0,1,3,3,12,2,2,0,3,0,0,1,1,0,1,3,5,2,2,1,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\$Gson$Types.java,com.hanuor.onyx.toolbox.gson.internal.$Gson$Types$ParameterizedTypeImpl,getActualTypeArguments/0,false,461,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\onyx\onyx\src\main\java\com\hanuor\onyx\toolbox\gson\internal\$Gson$Types.java,com.hanuor.onyx.toolbox.gson.internal.$Gson$Types$ParameterizedTypeImpl,hashCode/0,false,478,1,1,0,1,1,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
