file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\types\errors\arithmetic\FloatingPointError.java,org.optaplanner.jpyinterpreter.types.errors.arithmetic.FloatingPointError,class,4,5,1,4,4,7,0,2,3,1.0,0.0,0.0,3,0,3,0,0,0,4,0,0,0,1,1,1,0,0,0,1,0,1,15,0,0,0,0,1,1,0,2,0,5,0,0,0,1,38,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\opcodes\exceptions\CheckExcMatchOpcode.java,org.optaplanner.jpyinterpreter.opcodes.exceptions.CheckExcMatchOpcode,class,6,7,1,6,3,2,0,5,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\types\PythonLikeType.java,org.optaplanner.jpyinterpreter.types.PythonLikeType$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\opcodes\dunder\DunderOpcodes.java,org.optaplanner.jpyinterpreter.opcodes.dunder.DunderOpcodes,class,8,9,1,8,34,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,140,34,0,0,0,0,0,0,0,0,0,1,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\opcodes\module\ImportNameOpcode.java,org.optaplanner.jpyinterpreter.opcodes.module.ImportNameOpcode,class,6,7,1,6,3,2,0,5,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\opcodes\string\BuildStringOpcode.java,org.optaplanner.jpyinterpreter.opcodes.string.BuildStringOpcode,class,6,7,1,6,3,2,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\BytecodeSwitchImplementor.java,org.optaplanner.jpyinterpreter.BytecodeSwitchImplementor,class,3,7,4,3,19,1,0,33,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,116,2,8,3,0,0,2,14,33,4,29,3,0,0,1,59,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\implementors\DunderOperatorImplementor.java,org.optaplanner.jpyinterpreter.implementors.DunderOperatorImplementor,class,21,34,13,21,58,1,0,57,55,0.0,0.0,0.0,11,11,7,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,37,379,1,0,2,0,3,52,17,33,2,30,5,0,0,0,117,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\opcodes\async\AsyncOpcodes.java,org.optaplanner.jpyinterpreter.opcodes.async.AsyncOpcodes,class,3,4,1,3,7,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\opcodes\generator\YieldFromOpcode.java,org.optaplanner.jpyinterpreter.opcodes.generator.YieldFromOpcode,class,6,8,2,6,3,2,0,4,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15,1,0
