file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\types\errors\arithmetic\FloatingPointError.java,org.optaplanner.jpyinterpreter.types.errors.arithmetic.FloatingPointError,"FloatingPointError/2[org.optaplanner.jpyinterpreter.types.PythonLikeType,java.lang.String]",true,29,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\types\errors\arithmetic\FloatingPointError.java,org.optaplanner.jpyinterpreter.types.errors.arithmetic.FloatingPointError,FloatingPointError/1[org.optaplanner.jpyinterpreter.types.PythonLikeType],true,21,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\types\errors\arithmetic\FloatingPointError.java,org.optaplanner.jpyinterpreter.types.errors.arithmetic.FloatingPointError,(initializer 1),false,16,2,87,0,87,1,1,3,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\types\errors\arithmetic\FloatingPointError.java,org.optaplanner.jpyinterpreter.types.errors.arithmetic.FloatingPointError,"FloatingPointError/2[org.optaplanner.jpyinterpreter.types.PythonLikeType,java.util.List<org.optaplanner.jpyinterpreter.PythonLikeObject>]",true,25,2,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\opcodes\exceptions\CheckExcMatchOpcode.java,org.optaplanner.jpyinterpreter.opcodes.exceptions.CheckExcMatchOpcode,"implement/2[org.optaplanner.jpyinterpreter.FunctionMetadata,org.optaplanner.jpyinterpreter.StackMetadata]",false,25,3,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\opcodes\exceptions\CheckExcMatchOpcode.java,org.optaplanner.jpyinterpreter.opcodes.exceptions.CheckExcMatchOpcode,"getStackMetadataAfterInstruction/2[org.optaplanner.jpyinterpreter.FunctionMetadata,org.optaplanner.jpyinterpreter.StackMetadata]",false,18,3,4,0,4,1,4,3,1,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\opcodes\exceptions\CheckExcMatchOpcode.java,org.optaplanner.jpyinterpreter.opcodes.exceptions.CheckExcMatchOpcode,CheckExcMatchOpcode/1[org.optaplanner.jpyinterpreter.PythonBytecodeInstruction],true,13,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\opcodes\dunder\DunderOpcodes.java,org.optaplanner.jpyinterpreter.opcodes.dunder.DunderOpcodes,"lookupOpcodeForInstruction/2[org.optaplanner.jpyinterpreter.PythonBytecodeInstruction,org.optaplanner.jpyinterpreter.PythonVersion]",false,13,8,6,1,5,34,3,138,34,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\opcodes\module\ImportNameOpcode.java,org.optaplanner.jpyinterpreter.opcodes.module.ImportNameOpcode,"implement/2[org.optaplanner.jpyinterpreter.FunctionMetadata,org.optaplanner.jpyinterpreter.StackMetadata]",false,25,3,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\optapy\jpyinterpreter\src\main\java\org\optaplanner\jpyinterpreter\opcodes\module\ImportNameOpcode.java,org.optaplanner.jpyinterpreter.opcodes.module.ImportNameOpcode,ImportNameOpcode/1[org.optaplanner.jpyinterpreter.PythonBytecodeInstruction],true,13,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
