file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\oryx\framework\oryx-lambda\src\test\java\com\cloudera\oryx\lambda\batch\DeleteOldDataIT.java,com.cloudera.oryx.lambda.batch.DeleteOldDataIT,class,8,8,0,8,1,5,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,3,0,3,0,0,3,0,7,22,0,0,0,0,0,10,7,8,0,8,0,0,0,0,47,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\oryx\app\oryx-app-common\src\test\java\com\cloudera\oryx\app\rdf\decision\CategoricalDecisionTest.java,com.cloudera.oryx.app.rdf.decision.CategoricalDecisionTest,class,7,7,0,7,5,3,0,14,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,37,0,1,0,0,0,1,19,10,0,10,1,0,0,0,27,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\oryx\app\oryx-app-serving\src\test\java\com\cloudera\oryx\app\serving\als\ReadOnlyTest.java,com.cloudera.oryx.app.serving.als.ReadOnlyTest,class,5,5,0,5,3,7,0,7,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,2,0,3,0,2,0,2,1,0,2,0,23,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\oryx\app\oryx-app-common\src\main\java\com\cloudera\oryx\app\rdf\tree\TreeBasedClassifier.java,com.cloudera.oryx.app.rdf.tree.TreeBasedClassifier,interface,2,4,2,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\oryx\app\oryx-app-serving\src\test\java\com\cloudera\oryx\app\serving\kmeans\model\KMeansServingModelManagerIT.java,com.cloudera.oryx.app.serving.kmeans.model.KMeansServingModelManagerIT,class,11,12,1,11,2,2,0,24,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,4,29,0,0,0,0,0,11,18,5,1,5,0,0,0,0,41,17,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\oryx\framework\oryx-lambda\src\main\java\com\cloudera\oryx\lambda\batch\BatchUpdateFunction.java,com.cloudera.oryx.lambda.batch.BatchUpdateFunction,class,21,23,2,21,11,1,0,25,1,0.3636363,0.0,0.0,3,1,1,1,0,1,2,0,0,0,11,1,0,11,0,0,11,0,3,71,2,1,5,1,0,12,3,22,2,21,2,0,0,0,101,16,6
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\oryx\app\oryx-app-serving\src\main\java\com\cloudera\oryx\app\serving\als\RecommendWithContext.java,com.cloudera.oryx.app.serving.als.RecommendWithContext,class,19,19,0,19,5,4,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,26,1,0,3,0,0,12,0,13,0,13,2,0,0,2,96,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\oryx\framework\oryx-lambda\src\main\java\com\cloudera\oryx\lambda\TopicProducerImpl.java,com.cloudera.oryx.lambda.TopicProducerImpl,class,8,14,6,8,10,1,0,4,1,0.5833334,0.0,0.0,6,0,5,1,0,0,5,0,0,2,4,0,0,4,0,0,3,0,1,31,3,0,2,0,0,11,8,4,2,4,1,0,0,0,23,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\oryx\app\oryx-app-mllib\src\test\java\com\cloudera\oryx\app\batch\mllib\rdf\RDFUpdateIT.java,com.cloudera.oryx.app.batch.mllib.rdf.RDFUpdateIT,class,25,26,1,25,12,7,0,62,3,0.6666667,NaN,NaN,3,2,1,2,0,0,1,0,0,0,3,3,0,3,0,0,3,0,44,123,1,3,1,0,0,26,23,31,4,31,3,0,0,0,99,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\oryx\framework\oryx-common\src\main\java\com\cloudera\oryx\common\io\IOUtils.java,com.cloudera.oryx.common.io.IOUtils,class,2,20,18,2,16,1,0,20,10,0.8,0.0,0.0,5,4,4,1,0,0,4,0,0,0,1,1,0,1,0,0,1,0,8,66,3,3,3,3,0,5,2,8,0,6,6,1,0,0,123,17,1
