file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\test\java\quickml\supervised\inspection\CategoricalDistributionSamplerTest.java,quickml.supervised.inspection.CategoricalDistributionSamplerTest,class,7,8,1,7,16,1,0,23,8,0.6,0.0,0.0,5,0,3,2,0,0,3,0,0,0,1,1,0,1,0,0,1,0,8,114,2,9,0,0,2,28,28,45,12,31,2,0,0,0,47,1,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\main\java\quickml\supervised\crossValidation\MultiTargetLossChecker.java,quickml.supervised.crossValidation.MultiTargetLossChecker,class,8,8,0,8,3,1,0,7,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1,15,1,1,0,0,0,0,0,3,0,3,1,0,0,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\main\java\quickml\supervised\collaborativeFiltering\UserItem.java,quickml.supervised.collaborativeFiltering.UserItem,class,1,4,3,1,11,1,0,5,0,0.44444442,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,1,0,2,0,0,1,0,0,34,9,0,5,0,4,3,4,7,4,6,1,0,0,0,31,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\main\java\quickml\supervised\PredictiveModelsFromPreviousVersionsToBenchMarkAgainst\OldTreeBuilder.java,quickml.supervised.PredictiveModelsFromPreviousVersionsToBenchMarkAgainst.OldTreeBuilder$GreaterThanThresholdPredicate,innerclass,5,5,0,5,6,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,23,3,0,2,1,1,0,1,4,0,3,2,0,0,0,18,2,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\main\java\quickml\supervised\tree\decisionTree\scorers\PenalizedMSEScorerFactory.java,quickml.supervised.tree.decisionTree.scorers.PenalizedMSEScorerFactory,class,7,9,2,7,4,3,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\main\java\quickml\supervised\crossValidation\lossfunctions\classifierLossFunctions\WeightedAUCCrossValLossFunction.java,quickml.supervised.crossValidation.lossfunctions.classifierLossFunctions.WeightedAUCCrossValLossFunction$AUCData,innerclass,1,1,0,1,5,1,0,1,0,0.53333336,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,3,0,1,22,4,0,0,0,0,0,0,3,0,3,0,0,0,0,17,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\test\java\quickml\supervised\classifier\logRegression\InstanceTransformerUtilsTest.java,quickml.supervised.classifier.logRegression.InstanceTransformerUtilsTest,class,6,7,1,6,6,1,0,14,10,0.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,53,1,0,1,0,0,20,31,8,0,5,0,0,0,0,41,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\main\java\quickml\supervised\crossValidation\attributeImportance\AttributeLossTracker.java,quickml.supervised.crossValidation.attributeImportance.AttributeLossTracker,class,6,12,6,6,11,1,2,17,3,0.61904764,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,1,0,3,0,0,2,0,1,42,3,4,0,0,0,2,0,5,0,5,1,0,0,0,41,1,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\main\java\quickml\supervised\tree\regressionTree\nodes\RTLeafBuilder.java,quickml.supervised.tree.regressionTree.nodes.RTLeafBuilder,class,5,7,2,5,4,1,0,2,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,2,0,1,0,0,0,3,1,1,1,0,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\main\java\quickml\supervised\crossValidation\attributeImportance\AttributeImportanceFinder.java,quickml.supervised.crossValidation.attributeImportance.AttributeImportanceFinder,class,12,16,4,12,16,1,0,31,0,0.6326531,0.0,0.0,7,0,1,5,1,0,2,0,0,0,7,0,0,7,0,0,6,0,3,69,3,6,0,0,1,0,4,15,3,15,3,0,0,0,78,1,0
