file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\test\java\quickml\supervised\inspection\CategoricalDistributionSamplerTest.java,quickml.supervised.inspection.CategoricalDistributionSamplerTest,updatesCorrectly/0,false,69,5,6,0,6,6,16,31,0,10,0,16,2,1,4,0,0,1,5,8,11,6,2,0,0,0,28,1,1,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\test\java\quickml\supervised\inspection\CategoricalDistributionSamplerTest.java,quickml.supervised.inspection.CategoricalDistributionSamplerTest,getNewInstances/0,false,133,3,4,1,3,1,4,20,1,3,0,4,0,0,0,0,0,0,8,4,9,0,0,0,0,0,8,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\test\java\quickml\supervised\inspection\CategoricalDistributionSamplerTest.java,quickml.supervised.inspection.CategoricalDistributionSamplerTest,samplesDistCorrectly/0,false,32,5,4,0,4,7,15,33,0,11,0,15,1,1,5,0,0,1,4,9,12,6,2,0,0,0,23,1,1,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\test\java\quickml\supervised\inspection\CategoricalDistributionSamplerTest.java,quickml.supervised.inspection.CategoricalDistributionSamplerTest,getInstances/0,false,103,3,6,3,3,1,4,20,1,3,0,4,0,0,0,0,0,0,8,4,9,0,0,0,0,0,7,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\test\java\quickml\supervised\inspection\CategoricalDistributionSamplerTest.java,quickml.supervised.inspection.CategoricalDistributionSamplerTest,testStoresCountsCorrectly/0,false,23,5,3,0,3,1,5,7,0,3,0,5,1,1,0,0,0,0,3,3,3,0,0,0,0,0,15,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\main\java\quickml\supervised\crossValidation\MultiTargetLossChecker.java,quickml.supervised.crossValidation.MultiTargetLossChecker,"MultiTargetLossChecker/2[quickml.supervised.crossValidation.lossfunctions.classifierLossFunctions.ClassifierLossFunction,quickml.supervised.crossValidation.InstanceTargetSelector]",true,17,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\main\java\quickml\supervised\crossValidation\MultiTargetLossChecker.java,quickml.supervised.crossValidation.MultiTargetLossChecker,"calculateLoss/2[quickml.supervised.classifier.Classifier,java.util.List<T>]",false,23,7,6,0,6,2,7,7,1,1,2,7,0,0,1,0,0,0,0,0,1,0,1,0,0,0,11,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\main\java\quickml\supervised\collaborativeFiltering\UserItem.java,quickml.supervised.collaborativeFiltering.UserItem,equals/1[java.lang.Object],false,36,1,0,0,0,6,1,8,5,1,1,1,0,0,0,5,0,0,0,0,1,0,1,0,0,0,12,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\main\java\quickml\supervised\collaborativeFiltering\UserItem.java,quickml.supervised.collaborativeFiltering.UserItem,getItem/0,false,22,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\quickml\src\main\java\quickml\supervised\collaborativeFiltering\UserItem.java,quickml.supervised.collaborativeFiltering.UserItem,"UserItem/2[long,long]",true,12,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
