file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\rumble\src\main\java\org\rumbledb\expressions\flowr\ForClause.java,org.rumbledb.expressions.flowr.ForClause,class,13,26,13,13,27,3,0,18,28,0.7051282,0.0,0.0,13,0,13,0,0,0,13,0,0,0,6,0,0,3,3,0,3,0,0,85,9,2,8,0,3,22,4,9,9,8,1,0,0,0,69,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\rumble\src\main\java\org\rumbledb\runtime\functions\datetime\components\MonthFromDateTimeFunctionIterator.java,org.rumbledb.runtime.functions.datetime.components.MonthFromDateTimeFunctionIterator,class,6,7,1,6,3,3,0,6,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,1,14,2,0,1,0,0,0,2,3,0,2,1,0,0,0,30,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\rumble\src\main\java\org\rumbledb\runtime\functions\durations\components\HoursFromDurationFunctionIterator.java,org.rumbledb.runtime.functions.durations.components.HoursFromDurationFunctionIterator,class,6,7,1,6,3,3,0,6,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,1,14,2,0,1,0,0,0,2,3,0,2,1,0,0,0,29,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\rumble\src\main\java\org\rumbledb\parser\XQueryParser.java,org.rumbledb.parser.XQueryParser$ExistValueExprContext,innerclass,8,8,0,8,8,3,0,5,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,0,0,1,0,4,0,0,0,1,0,0,0,33,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\rumble\src\main\java\org\rumbledb\parser\XQueryParser.java,org.rumbledb.parser.XQueryParser$CatchErrorListContext,innerclass,7,7,0,7,8,3,0,6,19,0.85714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,2,0,0,0,0,0,0,26,7,0,0,0,1,0,0,1,0,2,1,0,0,0,34,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\rumble\src\main\java\org\rumbledb\parser\JsoniqParser.java,org.rumbledb.parser.JsoniqParser$NamespaceDeclContext,innerclass,7,7,0,7,7,3,0,4,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,1,0,3,0,0,0,1,0,0,0,29,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\rumble\src\main\java\org\rumbledb\parser\XQueryParser.java,org.rumbledb.parser.XQueryParser$ForBindingContext,innerclass,11,11,0,11,11,3,0,8,45,1.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,5,0,5,0,0,0,0,0,0,38,10,0,0,0,1,0,7,0,0,5,1,0,0,0,50,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\rumble\src\main\java\org\rumbledb\parser\JsoniqParser.java,org.rumbledb.parser.JsoniqParser$UpdateLocatorContext,innerclass,8,8,0,8,9,3,0,7,28,1.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,28,8,0,0,0,1,0,1,0,0,1,1,0,0,0,31,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\rumble\src\test\java\iq\SparkRuntimeTestsNativeDeactivated.java,iq.SparkRuntimeTestsNativeDeactivated,class,6,6,0,6,4,3,0,8,4,0.5,0.0,0.0,4,1,3,0,1,0,4,0,0,0,1,1,1,0,0,0,1,0,2,20,2,0,0,0,0,13,0,3,2,4,0,0,0,1,38,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\rumble\src\main\java\org\rumbledb\expressions\control\TryCatchExpression.java,org.rumbledb.expressions.control.TryCatchExpression,class,5,11,6,5,16,3,0,13,0,0.5151515,0.0,0.0,11,0,11,0,0,0,11,0,0,0,3,0,0,3,0,0,3,0,0,67,9,1,4,0,0,7,3,4,4,4,2,0,0,0,35,1,0
