file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\serve\frontend\server\src\main\java\org\pytorch\serve\snapshot\FSSnapshotSerializer.java,org.pytorch.serve.snapshot.FSSnapshotSerializer,"saveSnapshot/2[org.pytorch.serve.servingsdk.snapshot.Snapshot,java.util.Properties]",false,33,2,2,0,2,2,12,17,1,5,2,12,1,1,0,0,1,0,3,0,5,1,1,0,0,0,21,1,1,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\serve\frontend\server\src\main\java\org\pytorch\serve\snapshot\FSSnapshotSerializer.java,org.pytorch.serve.snapshot.FSSnapshotSerializer,getSnapshotPath/1[java.lang.String],false,60,1,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,6,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\serve\frontend\server\src\main\java\org\pytorch\serve\snapshot\FSSnapshotSerializer.java,org.pytorch.serve.snapshot.FSSnapshotSerializer,getLastSnapshot/0,false,69,1,3,0,3,4,15,16,1,5,0,15,3,1,0,0,1,0,0,0,4,0,3,0,0,2,17,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\serve\frontend\server\src\main\java\org\pytorch\serve\snapshot\FSSnapshotSerializer.java,org.pytorch.serve.snapshot.FSSnapshotSerializer,loadProperties/1[java.lang.String],false,92,0,1,1,0,3,5,15,2,3,1,5,0,0,0,1,1,0,1,0,3,0,2,0,0,0,13,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\serve\frontend\server\src\main\java\org\pytorch\serve\snapshot\FSSnapshotSerializer.java,org.pytorch.serve.snapshot.FSSnapshotSerializer,getSnapshot/1[java.lang.String],false,56,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\serve\frontend\server\src\main\java\org\pytorch\serve\snapshot\FSSnapshotSerializer.java,org.pytorch.serve.snapshot.FSSnapshotSerializer,getSnapshotTime/1[java.lang.String],false,107,0,1,1,0,2,4,11,1,2,1,4,0,0,0,0,1,0,2,1,3,0,1,0,0,0,13,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\serve\frontend\server\src\main\java\org\pytorch\serve\snapshot\FSSnapshotSerializer.java,org.pytorch.serve.snapshot.FSSnapshotSerializer,getSnapshotDirectory/0,false,64,0,3,3,0,1,1,3,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\serve\frontend\server\src\test\java\org\pytorch\serve\metrics\MetricTest.java,org.pytorch.serve.metrics.MetricTest,clearPrometheusRegistry/0,false,62,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\serve\frontend\server\src\test\java\org\pytorch\serve\metrics\MetricTest.java,org.pytorch.serve.metrics.MetricTest,testBackendPrometheusCounter/0,false,110,4,2,0,2,1,7,10,0,2,0,7,0,0,0,0,0,0,0,8,3,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\serve\frontend\server\src\test\java\org\pytorch\serve\metrics\MetricTest.java,org.pytorch.serve.metrics.MetricTest,testBackendLogMetric/0,false,75,4,2,0,2,1,7,7,0,2,0,7,0,0,0,0,0,0,2,1,2,1,0,0,0,0,10,1,0,false
