file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\test\java\ml\shifu\shifu\actor\TrainModelActorTest.java,ml.shifu.shifu.actor.TrainModelActorTest,class,14,14,0,14,9,1,0,16,0,0.33333334,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,4,77,0,4,0,0,0,21,4,22,0,18,2,2,0,0,58,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\main\java\ml\shifu\shifu\core\processor\stats\MunroPatStatsExecutor.java,ml.shifu.shifu.core.processor.stats.MunroPatStatsExecutor,class,9,11,2,9,2,3,0,7,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,1,10,0,0,0,0,0,2,0,1,0,1,0,0,0,0,25,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\test\java\ml\shifu\shifu\core\VariableSelectorTest.java,ml.shifu.shifu.core.VariableSelectorTest,class,6,6,0,6,4,1,0,9,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,27,0,1,0,0,0,5,2,7,0,5,2,0,0,0,26,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\test\java\ml\shifu\shifu\core\binning\CategoricalBinningTest.java,ml.shifu.shifu.core.binning.CategoricalBinningTest,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\main\java\ml\shifu\shifu\core\dtrain\lr\LogisticRegressionWorker.java,ml.shifu.shifu.core.dtrain.lr.LogisticRegressionWorker$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\main\java\ml\shifu\shifu\core\eval\Performances.java,ml.shifu.shifu.core.eval.WeightedFpr,class,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\main\java\ml\shifu\shifu\exception\ShifuErrorCode.java,ml.shifu.shifu.exception.ShifuErrorCode,enum,0,10,10,0,4,1,0,0,0,0.25,0.0,0.0,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,21,3,0,0,0,0,41,40,2,1,2,0,0,0,0,125,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\main\java\ml\shifu\shifu\util\updater\VarSelUpdater.java,ml.shifu.shifu.util.updater.VarSelUpdater,class,4,5,1,4,27,2,0,17,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,78,0,6,1,0,4,3,8,11,6,6,4,0,0,0,37,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\main\java\ml\shifu\shifu\core\dvarsel\VarSelOutput.java,ml.shifu.shifu.core.dvarsel.VarSelOutput,class,10,12,2,10,5,2,0,25,1,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,4,1,0,4,0,0,1,0,4,39,0,0,0,2,0,6,0,10,0,9,1,0,0,0,56,1,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\main\java\ml\shifu\shifu\core\posttrain\FeatureImportanceReducer.java,ml.shifu.shifu.core.posttrain.FeatureImportanceReducer$Anonymous1,anonymous,1,1,0,1,3,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,3,0,0,0,1,0,0,0,4,-1,0
