file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\test\java\ml\shifu\shifu\actor\TrainModelActorTest.java,ml.shifu.shifu.actor.TrainModelActorTest,setUp/0,false,51,2,2,0,2,1,2,4,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,17,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\test\java\ml\shifu\shifu\actor\TrainModelActorTest.java,ml.shifu.shifu.actor.TrainModelActorTest,testActor/0,false,57,9,0,0,0,8,14,68,0,15,0,14,0,0,4,0,0,0,19,4,20,0,2,2,0,0,62,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\main\java\ml\shifu\shifu\core\processor\stats\MunroPatStatsExecutor.java,ml.shifu.shifu.core.processor.stats.MunroPatStatsExecutor,"runStatsPig/1[java.util.Map<java.lang.String,java.lang.String>]",false,42,4,5,0,5,1,6,4,0,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,4,1,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\main\java\ml\shifu\shifu\core\processor\stats\MunroPatStatsExecutor.java,ml.shifu.shifu.core.processor.stats.MunroPatStatsExecutor,"MunroPatStatsExecutor/3[ml.shifu.shifu.core.processor.BasicModelProcessor,ml.shifu.shifu.container.obj.ModelConfig,java.util.List<ml.shifu.shifu.container.obj.ColumnConfig>]",true,37,3,1,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\test\java\ml\shifu\shifu\core\VariableSelectorTest.java,ml.shifu.shifu.core.VariableSelectorTest,setup/0,false,36,2,2,0,2,1,4,5,0,0,0,4,0,0,0,0,0,0,2,1,2,0,0,0,0,0,16,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\test\java\ml\shifu\shifu\core\VariableSelectorTest.java,ml.shifu.shifu.core.VariableSelectorTest,testFilter/0,false,48,3,0,0,0,3,6,18,0,3,0,6,0,0,1,0,0,0,3,1,5,0,2,0,0,0,14,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\main\java\ml\shifu\shifu\core\dtrain\lr\LogisticRegressionWorker.java,ml.shifu.shifu.core.dtrain.lr.LogisticRegressionWorker$Anonymous1,run/0,false,294,0,15,0,15,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\main\java\ml\shifu\shifu\core\eval\Performances.java,ml.shifu.shifu.core.eval.WeightedFpr,extract/1[ml.shifu.shifu.container.PerformanceObject],false,88,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\main\java\ml\shifu\shifu\exception\ShifuErrorCode.java,ml.shifu.shifu.exception.ShifuErrorCode,toString/0,false,142,0,9,9,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\shifu\src\main\java\ml\shifu\shifu\exception\ShifuErrorCode.java,ml.shifu.shifu.exception.ShifuErrorCode,getDescription/0,false,125,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
