file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,interface,10,13,3,10,30,1,0,29,91,0.0,0.0,0.0,14,6,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,13,107,10,10,2,1,0,4,15,32,10,28,3,0,0,2,159,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\interpolation\CubicSplineInterpolation2D.java,smile.interpolation.CubicSplineInterpolation2D,class,4,4,0,4,7,1,0,1,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,4,0,0,31,2,2,2,0,0,3,3,9,0,7,1,0,0,0,67,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\math\matrix\fp32\SparseMatrix.java,smile.math.matrix.fp32.SparseMatrix,class,9,12,3,9,105,2,0,33,0,0.61904764,0.0,0.0,30,4,27,3,0,0,27,0,0,0,7,2,0,7,0,0,7,0,24,419,21,46,10,2,0,12,91,179,60,120,4,1,1,0,317,1,6
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\deep\src\main\java\smile\deep\metric\Metric.java,smile.deep.metric.Metric,interface,1,3,2,1,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\data\SparseDatasetImpl.java,smile.data.SparseDatasetImpl,class,5,7,2,5,13,1,0,12,2,0.7,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,1,0,5,0,0,3,0,4,56,6,2,1,0,0,2,10,9,4,8,4,0,0,1,85,0,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\core\src\main\java\smile\classification\KNN.java,smile.classification.KNN,class,10,12,2,10,24,2,0,10,0,0.46875,0.0,0.0,8,4,8,0,0,0,8,0,0,0,4,1,0,4,0,0,4,0,5,96,9,3,9,0,0,8,20,18,3,14,2,0,0,0,204,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\core\src\main\java\smile\validation\metric\RegressionMetric.java,smile.validation.metric.RegressionMetric,interface,1,7,6,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\core\src\test\java\smile\classification\DiscreteNaiveBayesTest.java,smile.classification.DiscreteNaiveBayesTest,class,11,11,0,11,59,1,0,22,0,0.525,0.0,0.0,16,2,16,0,0,0,16,0,0,0,5,5,0,5,0,0,5,0,34,241,0,29,11,1,0,69,56,82,24,79,3,0,0,12,53,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\core\src\main\java\smile\validation\metric\R2.java,smile.validation.metric.R2,class,3,7,4,3,5,1,0,3,3,1.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,2,2,1,1,0,0,2,0,2,26,3,1,1,0,0,2,5,11,6,9,1,0,0,0,53,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\plot\src\main\java\smile\plot\swing\PlotPanel.java,smile.plot.swing.PlotPanel$ShrinkPlotAreaAction,innerclass,2,2,0,2,5,2,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,3,1,0,0,1,0,0,0,17,2,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\stat\distribution\DiscreteMixture.java,smile.stat.distribution.DiscreteMixture$Component,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,20,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\core\src\main\java\smile\classification\Maxent.java,smile.classification.Maxent$Binomial,innerclass,4,4,0,4,10,3,0,6,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,8,35,4,1,1,0,3,1,16,10,11,5,1,0,0,0,68,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\stat\hypothesis\TTest.java,smile.stat.hypothesis.TTest,class,4,6,2,4,10,1,0,7,0,0.42857143,0.0,0.0,7,5,7,0,0,0,7,0,0,0,4,0,4,0,0,0,4,0,25,74,7,1,1,0,22,7,25,39,70,37,1,0,0,0,202,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\plot\src\main\java\smile\plot\swing\Projection3D.java,smile.plot.swing.Projection3D,class,4,10,6,4,8,2,0,5,10,0.58928573,0.0,0.0,8,0,6,1,0,1,7,0,0,0,7,0,0,7,0,0,0,0,8,49,3,0,0,0,22,0,57,22,63,9,0,0,0,0,64,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\core\src\test\java\smile\feature\selection\SignalNoiseRatioTest.java,smile.feature.selection.SignalNoiseRatioTest,class,8,8,0,8,10,1,0,7,28,0.0,0.0,0.0,8,2,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,8,34,8,0,6,2,0,0,0,25,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\plot\src\main\java\smile\plot\vega\VegaLite.java,smile.plot.vega.VegaLite,class,10,16,6,10,30,1,4,33,26,0.89000005,0.0,0.0,25,0,24,0,0,1,25,0,0,0,8,5,0,3,0,5,8,0,7,121,22,0,0,1,0,40,2,15,1,15,2,0,0,0,218,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\plot\src\main\java\smile\plot\swing\BarPlot.java,smile.plot.swing.BarPlot,class,9,11,2,9,22,3,0,12,9,0.5,0.0,0.0,10,3,10,0,0,0,10,0,0,0,2,0,0,0,0,2,2,0,4,82,7,7,1,0,1,1,38,27,14,15,3,0,0,0,63,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\test\java\smile\stat\distribution\GeometricDistributionTest.java,smile.stat.distribution.GeometricDistributionTest,class,7,7,0,7,14,1,0,15,91,0.0,0.0,0.0,14,2,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,7,94,0,0,0,0,0,9,111,11,1,11,0,0,0,0,34,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\core\src\main\java\smile\validation\ClassificationValidations.java,smile.validation.ClassificationValidations,class,5,20,15,5,11,1,0,9,0,0.375,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,1,3,1,0,0,4,0,25,59,1,1,0,0,0,15,16,34,14,21,2,0,0,0,53,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\core\src\main\java\smile\validation\RegressionValidations.java,smile.validation.RegressionValidations,class,5,8,3,5,3,1,0,8,0,0.375,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,1,3,1,0,0,4,0,10,43,1,1,0,0,0,9,4,24,2,16,1,0,0,0,46,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\plot\src\main\java\smile\swing\table\PageTableModel.java,smile.swing.table.PageTableModel$PageSizeAction,innerclass,1,1,0,1,3,2,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,1,0,1,0,1,0,1,1,0,0,0,13,0,0
