file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,nz/0,false,48,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,nz/1[int],false,54,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,"get/2[int,int]",false,81,2,4,1,3,7,4,11,2,0,2,4,0,0,1,1,0,0,2,3,0,1,2,0,0,0,17,65536,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,unitize1/0,false,117,1,1,0,1,3,5,12,0,2,0,5,0,0,2,0,0,0,0,1,2,1,2,0,0,1,15,65536,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,from/1[java.nio.file.Path],false,231,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,8,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,unitize/0,false,98,1,1,0,1,3,6,13,0,2,0,6,0,0,2,0,0,0,0,1,3,1,2,0,0,1,14,65536,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,"of/2[java.util.Collection<smile.data.SampleInstance<smile.util.SparseArray,T>>,int]",false,182,4,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,toMatrix/0,false,135,5,8,2,6,4,6,22,1,11,0,6,0,0,3,0,0,0,0,4,14,4,2,0,0,0,26,65536,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,ncol/0,false,69,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,of/1[smile.util.SparseArray[]],false,192,4,2,2,0,1,4,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,8,0,true
