file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\spring-ai\spring-ai-core\src\main\java\org\springframework\ai\chat\metadata\RateLimit.java,org.springframework.ai.chat.metadata.RateLimit,interface,0,14,14,0,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\spring-ai\models\spring-ai-watsonx-ai\src\test\java\org\springframework\ai\watsonx\WatsonxAiChatClientTest.java,org.springframework.ai.watsonx.WatsonxAiChatClientTest,class,16,16,0,16,6,1,0,62,3,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,34,100,0,0,0,0,0,86,40,40,0,42,1,0,0,3,65,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\spring-ai\models\spring-ai-azure-openai\src\test\java\org\springframework\ai\azure\openai\MockAzureOpenAiTestConfiguration.java,org.springframework.ai.azure.openai.MockAzureOpenAiTestConfiguration,class,10,11,1,10,2,1,0,4,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,2,0,1,0,1,0,0,0,0,52,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\spring-ai\models\spring-ai-azure-openai\src\test\java\org\springframework\ai\azure\openai\MockAiTestConfiguration.java,org.springframework.ai.azure.openai.MockAiTestConfiguration$MockWebServerFactoryBean,innerclass,9,9,0,9,11,1,0,16,26,0.7777778,0.0,0.0,9,0,6,1,2,0,8,0,0,0,4,0,0,4,0,0,2,0,1,49,6,0,0,2,0,4,0,4,0,4,1,0,0,0,91,8,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\spring-ai\spring-ai-core\src\main\java\org\springframework\ai\vectorstore\filter\FilterExpressionTextParser.java,org.springframework.ai.vectorstore.filter.FilterExpressionTextParser,class,12,15,3,12,9,7,0,20,2,0.6,0.0,0.0,5,0,4,0,0,1,5,0,0,0,4,1,0,4,0,0,4,0,2,132,3,0,1,1,0,3,0,13,0,12,1,0,3,0,106,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\spring-ai\spring-ai-core\src\test\java\org\springframework\ai\transformer\splitter\TextSplitterTests.java,org.springframework.ai.transformer.splitter.TextSplitterTests,class,4,4,0,4,1,1,0,18,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,6,42,0,0,0,0,0,18,20,7,1,6,0,1,0,0,47,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\spring-ai\spring-ai-spring-boot-autoconfigure\src\main\java\org\springframework\ai\autoconfigure\watsonxai\WatsonxAiAutoConfiguration.java,org.springframework.ai.autoconfigure.watsonxai.WatsonxAiAutoConfiguration,class,12,13,1,12,2,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,0,0,26,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\spring-ai\models\spring-ai-bedrock\src\main\java\org\springframework\ai\bedrock\llama2\BedrockLlama2ChatOptions.java,org.springframework.ai.bedrock.llama2.BedrockLlama2ChatOptions$Builder,innerclass,2,2,0,2,4,1,0,3,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,18,4,0,0,0,0,0,0,1,0,1,0,0,0,0,19,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\spring-ai\spring-ai-spring-boot-autoconfigure\src\test\java\org\springframework\ai\autoconfigure\vectorstore\qdrant\QdrantVectorStoreAutoConfigurationIT.java,org.springframework.ai.autoconfigure.vectorstore.qdrant.QdrantVectorStoreAutoConfigurationIT,class,12,13,1,12,3,1,0,28,1,0.8,0.0,0.0,2,1,2,0,0,0,2,0,0,0,5,3,0,3,0,2,3,0,6,36,1,0,0,1,0,16,7,10,3,11,1,0,1,2,55,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\spring-ai\spring-ai-core\src\main\java\org\springframework\ai\model\ModelOptionsUtils.java,org.springframework.ai.model.ModelOptionsUtils,class,19,48,29,19,49,1,0,70,71,0.8714286,0.0,0.0,14,13,12,2,0,0,12,0,0,0,5,5,0,5,0,0,2,0,13,176,16,2,10,6,3,13,3,30,4,41,5,2,0,13,172,17,0
