file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tablesaw\core\src\main\java\tech\tablesaw\api\NumberColumn.java,tech.tablesaw.api.NumberColumn,class,11,33,22,11,23,2,0,18,100,0.8333333,0.0,0.0,16,0,12,0,4,0,16,4,0,0,3,0,0,1,2,0,1,0,2,77,11,3,0,0,0,1,4,14,0,14,2,0,0,1,114,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tablesaw\jsplot\src\main\java\tech\tablesaw\plotly\components\threeD\Center.java,tech.tablesaw.plotly.components.threeD.Center,class,2,6,4,2,2,2,0,0,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tablesaw\core\src\main\java\tech\tablesaw\columns\temporal\TemporalPredicates.java,tech.tablesaw.columns.temporal.TemporalPredicates,class,2,3,1,2,9,1,1,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,8,8,8,0,0,0,8,0,2,12,0,0,4,0,0,0,0,8,0,18,0,0,0,8,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tablesaw\jsplot\src\main\java\tech\tablesaw\plotly\traces\Trace.java,tech.tablesaw.plotly.traces.Trace,interface,1,12,11,1,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tablesaw\saw\src\main\java\tech\tablesaw\io\saw\SawReadOptions.java,tech.tablesaw.io.saw.SawReadOptions,class,1,5,4,1,7,1,0,2,7,0.72222227,0.0,0.0,6,1,6,0,0,0,6,0,0,0,3,1,0,3,0,0,1,0,0,27,6,0,0,0,0,0,2,6,0,3,0,0,0,0,54,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tablesaw\jsplot\src\main\java\tech\tablesaw\plotly\components\Grid.java,tech.tablesaw.plotly.components.Grid$GridBuilder,innerclass,6,6,0,6,16,1,0,1,43,0.88750005,0.0,0.0,10,0,9,1,0,0,9,0,0,0,8,0,0,8,0,0,0,0,0,51,9,0,0,0,0,0,10,16,0,8,0,0,0,0,116,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tablesaw\core\src\main\java\tech\tablesaw\analytic\AggregateFunctions.java,tech.tablesaw.analytic.AggregateFunctions$Sum,innerclass,5,5,0,5,2,2,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,0,0,2,0,0,6,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tablesaw\core\src\main\java\tech\tablesaw\analytic\AnalyticQuerySteps.java,tech.tablesaw.analytic.AnalyticQuerySteps$NameStepNumbering,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tablesaw\core\src\main\java\tech\tablesaw\io\fixed\FixedWidthWriteOptions.java,tech.tablesaw.io.fixed.FixedWidthWriteOptions,class,8,13,5,8,28,3,0,1,336,0.9285715,0.0,0.0,28,5,27,1,0,0,27,0,0,0,21,0,0,21,0,0,21,0,1,250,27,0,0,0,0,0,0,21,0,21,0,0,1,0,63,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tablesaw\core\src\main\java\tech\tablesaw\columns\dates\DateMapFunctions.java,tech.tablesaw.columns.dates.DateMapFunctions,interface,14,34,20,14,79,1,0,67,630,0.0,0.0,0.0,36,1,0,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,74,316,32,16,3,0,0,30,20,68,26,62,4,0,0,1,166,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tablesaw\jsplot\src\main\java\tech\tablesaw\plotly\traces\BoxTrace.java,tech.tablesaw.plotly.traces.BoxTrace$BoxBuilder,innerclass,6,6,0,6,7,2,0,5,19,0.7619048,0.0,0.0,7,0,4,0,1,2,7,0,0,0,3,1,0,3,0,0,3,0,1,31,5,0,0,0,0,1,0,5,0,3,0,0,0,0,16,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tablesaw\core\src\main\java\tech\tablesaw\analytic\AggregateFunctions.java,tech.tablesaw.analytic.AggregateFunctions$Min,innerclass,5,5,0,5,2,2,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0,0,0,2,0,0,6,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tablesaw\core\src\main\java\tech\tablesaw\analytic\NumberingFunctions.java,tech.tablesaw.analytic.NumberingFunctions$Implementations,innerclass,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,0,0,0,0,0,0,0,0,3,0,0,8,8,0
