file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,class,11,29,18,11,36,1,0,88,56,0.90476197,0.0,0.0,21,0,17,4,0,0,17,0,0,0,18,16,0,18,0,0,16,0,13,184,22,4,2,1,0,147,10,36,12,42,3,0,0,6,173,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\Opponent.java,org.strangeforest.tcb.stats.service.Opponent$OpponentCategory,enum,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,6,0,1,0,1,0,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\model\records\categories\BreaksWinningTitleCategory.java,org.strangeforest.tcb.stats.model.records.categories.BreaksWinningTitleCategory$ItemType,enum,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,4,0,0,4,0,0,4,0,0,11,0,0,0,0,0,8,0,4,0,4,0,0,0,0,20,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\controller\PlayerStatsController.java,org.strangeforest.tcb.stats.controller.PlayerStatsController,class,28,29,1,28,24,2,0,40,0,0.53333336,0.0,0.0,10,0,8,2,0,0,8,0,0,0,3,0,0,3,0,0,0,0,36,154,8,0,3,0,0,186,0,54,0,57,2,0,0,0,79,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\controller\RecordsController.java,org.strangeforest.tcb.stats.controller.RecordsController,class,10,10,0,10,3,3,0,8,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,5,21,2,0,0,0,0,15,0,4,0,5,1,0,0,0,29,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\model\price\PriceFormat.java,org.strangeforest.tcb.stats.model.price.PriceFormat$Anonymous1,anonymous,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\model\records\RecordDetailFactory.java,org.strangeforest.tcb.stats.model.records.RecordDetailFactory,class,3,4,1,3,2,1,0,2,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,2,0,0,10,1,0,0,0,0,0,0,2,0,2,0,0,0,0,23,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\itest\java\org\strangeforest\tcb\stats\service\TopPerformersServiceIT.java,org.strangeforest.tcb.stats.service.TopPerformersServiceIT,class,5,5,0,5,3,1,0,12,0,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0,18,0,0,0,0,0,4,17,3,0,4,0,0,0,0,14,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\model\PerfMatchScore.java,org.strangeforest.tcb.stats.model.PerfMatchScore,class,1,4,3,1,15,1,0,4,0,0.23809524,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,3,0,4,35,10,0,8,0,0,3,2,6,2,5,1,0,0,0,27,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\model\price\PriceFormat.java,org.strangeforest.tcb.stats.model.price.PriceFormat$Anonymous4,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1,0
