file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,getPlayerWikipediaUrl/1[int],false,235,1,2,1,1,4,5,13,2,2,1,5,1,1,1,1,1,0,1,0,2,0,3,0,0,0,27,1,1,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,mapPlayer/1[java.sql.ResultSet],false,253,1,40,0,40,1,44,43,1,1,1,44,0,0,0,0,0,0,40,0,1,0,0,0,0,0,16,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,PlayerService/0,true,97,1,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,getPlayerSeasons/1[int],false,164,1,15,15,0,1,2,3,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,getPlayerId/1[java.lang.String],false,119,2,1,1,0,2,4,7,2,1,1,4,0,0,0,0,0,0,4,0,0,0,2,0,0,1,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,getPlayersSeasons/1[int[]],false,168,2,4,3,1,1,7,3,1,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,getPlayer/1[java.lang.String],false,114,2,6,4,2,1,2,3,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,findPlayerId/1[java.lang.String],false,155,1,4,4,0,1,4,3,1,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,getIndexedPlayers/1[int[]],false,177,3,7,4,3,2,2,8,1,3,1,2,1,1,1,0,0,0,0,1,3,0,1,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,getPlayer/1[int],false,105,3,9,9,0,2,4,7,2,1,1,4,0,0,0,0,0,0,3,0,0,0,2,0,0,1,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,"playerAutocompleteOptionMapper/2[java.sql.ResultSet,int]",false,300,1,1,0,1,1,2,6,1,3,2,2,0,0,0,0,0,0,4,0,3,1,0,0,0,0,20,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,findPlayerIds/1[java.util.List<java.lang.String>],false,159,1,2,1,1,1,9,3,1,2,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,2,12,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,getIndexedPlayers/1[java.util.List<java.lang.String>],false,186,2,7,4,3,4,5,10,1,3,1,5,1,1,1,0,0,0,0,1,3,0,2,0,0,0,13,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,PlayerService/1[org.strangeforest.tcb.stats.service.NamedParameterJdbcTemplate],true,99,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,"topCondition/2[java.lang.String,java.lang.String]",false,225,0,1,1,0,1,3,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,getPlayerName/1[int],false,129,1,8,8,0,1,2,3,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,getPlayerBestSeason/1[int],false,173,1,2,2,0,2,4,3,1,1,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,1,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,"topN/2[java.lang.String,int]",false,221,0,1,1,0,1,3,3,1,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,autocompletePlayer/1[java.lang.String],false,139,1,1,1,0,5,6,13,1,4,1,6,0,0,1,0,0,0,3,1,4,0,3,0,0,0,25,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tennis-crystal-ball\tennis-stats\src\main\java\org\strangeforest\tcb\stats\service\PlayerService.java,org.strangeforest.tcb.stats.service.PlayerService,getPlayerQuickPicks/0,false,200,2,7,5,2,1,4,20,1,1,0,4,2,1,0,0,0,0,41,4,1,0,0,0,0,0,62,1,0,false
