file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Sampling.java,main.Sampling,class,2,2,0,2,2,1,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,13,4,0,3,1,0,0,0,10,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\ClassList.java,main.ClassList,class,6,10,4,6,29,1,0,9,0,0.4375,0.0,0.0,8,0,8,0,0,0,8,0,0,0,6,0,6,0,0,0,0,0,1,113,0,7,8,0,0,0,13,39,1,20,5,0,0,0,51,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Data.java,main.TrainData,class,5,9,4,5,15,2,0,12,0,0.51851857,NaN,NaN,3,0,1,2,0,0,1,0,0,0,9,0,7,2,0,0,0,0,5,85,0,7,1,2,1,5,19,36,4,25,4,0,0,0,39,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Data.java,main.TestData,class,3,5,2,3,9,2,0,7,1,0.44444445,NaN,NaN,3,0,1,2,0,0,1,0,0,0,3,0,3,0,0,0,0,0,1,45,0,3,1,2,1,3,4,13,0,10,4,0,0,0,25,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Tree.java,main.Tree$ProcessEachCategoricalFeature,innerclass,6,6,0,6,12,1,0,13,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,1,75,0,6,0,0,0,0,24,36,1,23,3,1,0,0,40,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\AttributeList.java,main.AttributeList,class,4,10,6,4,11,1,0,8,0,0.5714286,NaN,NaN,4,0,1,3,0,0,1,0,0,0,7,0,6,1,0,0,0,0,1,65,0,6,1,0,0,0,23,26,11,17,3,1,0,0,33,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Loss.java,main.LogisticLoss,class,3,6,3,3,9,2,0,3,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,36,6,3,0,0,2,0,10,11,5,8,1,0,0,0,12,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Main.java,main.Main,class,3,4,1,3,6,1,0,11,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,45,0,1,0,0,0,4,24,25,0,25,1,0,0,0,41,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\TreeNode.java,main.TreeNode,class,2,9,7,2,21,1,0,6,38,0.8307292,0.0,0.0,16,0,15,1,0,0,15,0,0,0,24,0,19,4,0,1,0,0,1,143,1,2,0,0,0,0,2,65,0,28,2,0,0,0,50,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Metric.java,main.Metric$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Sampling.java,main.ColumnSampler,class,0,3,3,0,3,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,1,2,0,0,0,0,1,16,0,1,0,0,1,0,3,5,1,4,1,0,0,0,10,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\AttributeList.java,main.AttributeList$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\GBM.java,main.GBM,class,16,19,3,16,35,1,0,27,23,0.82954556,0.0,0.0,11,0,9,2,0,0,9,0,0,0,16,1,0,16,0,0,0,0,17,201,11,7,0,1,0,19,13,67,3,43,5,0,0,0,100,1,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\ModelSerializer.java,main.ModelSerializer,class,7,9,2,7,29,1,0,35,6,0.0,0.0,0.0,4,4,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,170,4,8,8,2,1,42,28,42,16,36,8,0,0,0,59,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Tree.java,main.Tree$ProcessEachNumericFeature,innerclass,6,6,0,6,6,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,0,35,0,3,0,0,0,0,4,18,1,16,3,0,0,0,32,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Loss.java,main.SquareLoss,class,2,4,2,2,4,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,17,3,1,0,0,0,0,2,4,1,3,1,0,0,0,9,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Data.java,main.ValidationData,class,4,6,2,4,9,2,0,7,1,0.5,NaN,NaN,3,0,1,2,0,0,1,0,0,0,4,0,4,0,0,0,0,0,2,48,0,3,1,2,1,3,6,15,2,11,4,0,0,0,26,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Metric.java,main.Metric,class,2,4,2,2,16,1,0,4,10,0.0,0.0,0.0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,55,5,6,3,0,2,0,23,20,8,13,2,1,0,0,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Tree.java,main.Tree$ProcessEachCategoricalFeature$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Tree.java,main.Tree$PredictCallable,innerclass,2,2,0,2,11,1,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,49,1,1,5,0,0,0,3,11,0,2,4,0,0,0,12,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Tree.java,main.Tree,class,11,16,5,11,37,1,0,37,15,0.79230773,0.0,0.0,10,0,5,5,0,0,5,0,0,0,13,0,2,11,0,0,0,0,17,352,5,9,8,3,14,0,48,62,47,47,4,0,3,0,90,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Loss.java,main.Loss,class,2,7,5,2,3,1,2,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Sampling.java,main.RowSampler,class,0,3,3,0,4,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,11,0,1,0,0,0,0,3,2,0,2,1,0,0,0,9,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Data.java,main.Data,class,0,3,3,0,0,1,3,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0
