file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Sampling.java,main.Sampling,main/1[java.lang.String[]],false,42,2,4,0,4,2,7,16,0,3,1,7,0,0,1,0,0,0,0,13,4,0,1,0,0,0,9,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\ClassList.java,main.ClassList,sampling/1[java.util.ArrayList<java.lang.Double>],false,48,0,1,1,0,2,1,6,0,1,1,1,0,0,1,0,0,0,0,1,3,0,1,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\ClassList.java,main.ClassList,ClassList/1[main.TrainData],true,16,3,1,1,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\ClassList.java,main.ClassList,update_grad_hess_missing_for_tree_node/1[int[][]],false,57,2,2,2,0,4,0,11,0,2,1,0,0,0,2,0,0,0,0,1,4,0,3,0,0,0,15,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\ClassList.java,main.ClassList,initialize_pred/1[double],false,25,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\ClassList.java,main.ClassList,update_pred/1[double],false,29,0,1,1,0,2,0,5,0,1,1,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\ClassList.java,main.ClassList,"update_grad_hess/2[main.Loss,double]",false,35,1,3,1,2,4,2,12,0,1,2,2,0,0,1,2,0,0,0,3,5,0,3,0,0,0,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\ClassList.java,main.ClassList,update_corresponding_tree_node/1[main.AttributeList],false,80,2,1,1,0,12,2,50,0,7,1,2,0,0,1,6,0,0,0,5,17,0,5,0,0,0,24,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\ClassList.java,main.ClassList,update_Grad_Hess_numsample_for_tree_node/0,false,69,1,4,1,3,3,3,10,0,2,0,3,0,0,1,0,0,0,0,2,2,0,2,0,0,0,14,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Data.java,main.TrainData,"TrainData/2[java.lang.String,java.util.ArrayList<java.lang.String>]",true,32,1,3,1,2,1,2,5,0,0,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Data.java,main.TrainData,second_scan/1[java.lang.String],false,74,3,1,1,0,6,7,39,0,8,1,7,0,0,3,0,1,0,2,11,22,2,4,0,0,0,26,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Data.java,main.TrainData,first_scan/1[java.lang.String],false,39,0,1,1,0,8,8,30,0,8,1,8,0,0,4,1,1,1,3,8,11,2,4,0,0,0,21,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Data.java,main.TestData,TestData/1[java.lang.String],true,178,1,3,1,2,1,2,4,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Data.java,main.TestData,second_scan/1[java.lang.String],false,199,1,1,1,0,5,5,21,0,4,1,5,0,0,2,0,1,0,2,2,7,0,4,0,0,0,19,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Data.java,main.TestData,first_scan/1[java.lang.String],false,183,0,1,1,0,3,3,15,0,3,1,3,0,0,1,1,1,1,1,2,6,0,2,0,0,0,18,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Tree.java,main.Tree$ProcessEachCategoricalFeature,"ProcessEachCategoricalFeature/3[int,main.AttributeList,main.ClassList]",true,188,2,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Tree.java,main.Tree$ProcessEachCategoricalFeature,run/0,false,195,4,3,0,3,11,13,65,0,20,0,13,0,0,6,0,0,0,0,24,33,1,3,1,0,0,31,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\AttributeList.java,main.AttributeList,initialize_cutting_inds_thresholds/0,false,39,2,1,1,0,7,4,33,0,9,0,4,0,0,5,1,0,0,0,22,19,11,3,0,0,0,17,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\AttributeList.java,main.AttributeList,clean_up/0,false,79,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\AttributeList.java,main.AttributeList,AttributeList/1[main.TrainData],true,16,2,4,1,3,1,3,10,0,0,1,3,3,1,0,0,0,0,0,0,5,0,0,0,0,0,22,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\AttributeList.java,main.AttributeList,sort_attribute_list/0,false,28,1,2,1,1,2,1,10,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,8,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Loss.java,main.LogisticLoss,"grad/2[double[],double[]]",false,63,2,1,0,1,2,1,8,1,3,2,1,1,2,1,0,0,0,0,1,4,1,1,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Loss.java,main.LogisticLoss,"hess/2[double[],double[]]",false,72,2,1,0,1,2,1,8,1,3,2,1,1,2,1,0,0,1,0,2,4,2,1,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Loss.java,main.LogisticLoss,transform/1[double[]],false,55,2,3,2,1,2,2,7,1,2,1,2,1,1,1,0,0,1,0,3,3,2,1,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Loss.java,main.LogisticLoss,clip/1[double],false,45,0,1,1,0,3,0,11,3,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Main.java,main.Main,testing/1[java.lang.String[]],false,55,2,3,1,2,1,2,7,0,4,1,2,0,0,0,0,0,0,0,3,4,0,0,0,0,0,9,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Main.java,main.Main,main/1[java.lang.String[]],false,64,1,2,0,2,3,3,8,0,0,1,3,2,1,0,0,0,0,2,2,0,0,1,0,0,0,4,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tgboost\src\main\Main.java,main.Main,training/1[java.lang.String[]],false,6,2,4,1,3,2,7,28,0,21,1,7,0,0,1,0,0,0,2,19,21,0,1,0,0,0,37,9,0,false
