file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\timefold-solver\benchmark\src\main\java\ai\timefold\solver\benchmark\api\PlannerBenchmarkException.java,ai.timefold.solver.benchmark.api.PlannerBenchmarkException,class,0,1,1,0,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\timefold-solver\core\src\main\java\ai\timefold\solver\core\impl\score\stream\collector\tri\ToListTriCollector.java,ai.timefold.solver.core.impl.score.stream.collector.tri.ToListTriCollector,class,7,8,1,7,2,2,0,0,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\timefold-solver\core\src\main\java\ai\timefold\solver\core\impl\score\stream\bavet\quad\BavetTriGroupQuadConstraintStream.java,ai.timefold.solver.core.impl.score.stream.bavet.quad.BavetTriGroupQuadConstraintStream,class,18,20,2,18,10,4,0,7,7,0.5714286,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,1,0,3,30,6,0,3,0,0,1,0,4,0,4,1,0,0,0,33,16,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\timefold-solver\core\src\main\java\ai\timefold\solver\core\impl\score\stream\common\quad\InnerQuadConstraintStream.java,ai.timefold.solver.core.impl.score.stream.common.quad.InnerQuadConstraintStream,interface,16,17,1,16,33,1,0,8,528,0.0,0.0,0.0,33,2,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,95,30,0,0,0,0,0,0,0,0,5,0,0,0,1,25,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\timefold-solver\core\src\main\java\ai\timefold\solver\core\impl\score\stream\bavet\tri\BavetIfExistsTriConstraintStream.java,ai.timefold.solver.core.impl.score.stream.bavet.tri.BavetIfExistsTriConstraintStream,class,21,23,2,21,17,4,0,18,0,0.48000002,0.0,0.0,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,5,0,5,50,9,0,6,0,2,2,0,9,1,9,1,0,0,0,52,16,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\timefold-solver\core\src\main\java\ai\timefold\solver\core\impl\score\stream\collector\bi\ToCollectionBiCollector.java,ai.timefold.solver.core.impl.score.stream.collector.bi.ToCollectionBiCollector,class,7,9,2,7,8,2,0,5,0,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,2,20,6,0,3,0,0,0,0,2,0,2,1,0,0,1,21,16,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\timefold-solver\core\src\test\java\ai\timefold\solver\core\impl\heuristic\selector\value\ValueSelectorFactoryTest.java,ai.timefold.solver.core.impl.heuristic.selector.value.ValueSelectorFactoryTest$DummyEntityIndependentValueSelector,innerclass,9,9,0,9,15,1,0,1,105,0.0,0.0,0.0,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\timefold-solver\core\src\test\java\ai\timefold\solver\core\impl\testdata\domain\list\allows_unassigned\TestdataAllowsUnassignedValuesListIncrementalScoreCalculator.java,ai.timefold.solver.core.impl.testdata.domain.list.allows_unassigned.TestdataAllowsUnassignedValuesListIncrementalScoreCalculator,class,4,4,0,4,9,1,0,6,16,0.5,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,29,1,1,0,0,0,0,1,3,0,2,1,0,0,0,29,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\timefold-solver\core\src\main\java\ai\timefold\solver\core\api\score\stream\uni\UniConstraintBuilder.java,ai.timefold.solver.core.api.score.stream.uni.UniConstraintBuilder,interface,6,8,2,6,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\timefold-solver\core\src\main\java\ai\timefold\solver\core\impl\score\ScoreUtil.java,ai.timefold.solver.core.impl.score.ScoreUtil,class,4,5,1,4,49,1,0,26,35,0.8545455,0.0,0.0,11,10,10,1,0,0,10,0,0,0,5,5,5,0,0,0,5,0,11,209,15,6,8,4,1,95,41,47,28,33,3,0,0,0,96,17,0
