file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Classification\Experiments\src\main\java\org\tribuo\classification\experiments\RunAll.java,org.tribuo.classification.experiments.RunAll,class,15,16,1,15,12,1,0,34,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,4,75,1,2,4,4,1,16,2,18,12,17,3,0,1,0,72,1,6
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Clustering\Core\src\main\java\org\tribuo\clustering\evaluation\ClusteringMetrics.java,org.tribuo.clustering.evaluation.ClusteringMetrics,enum,5,9,4,5,8,1,0,12,13,0.6666667,0.0,0.0,6,3,5,0,0,1,6,0,0,0,1,0,0,1,0,0,1,0,6,37,5,0,0,0,2,0,3,12,5,14,1,0,0,2,61,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Regression\LibLinear\src\main\java\org\tribuo\regression\liblinear\TrainTest.java,org.tribuo.regression.liblinear.TrainTest,class,12,13,1,12,5,1,0,18,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,5,48,2,0,3,1,0,3,0,14,3,14,1,0,1,0,52,1,5
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Interop\ONNX\src\main\java\org\tribuo\interop\onnx\protos\ImageTransformerProto.java,org.tribuo.interop.onnx.protos.ImageTransformerProto,class,15,17,2,15,63,2,0,25,586,0.9277779,0.0,0.0,36,17,30,3,3,0,34,0,3,0,10,6,3,7,0,0,6,0,2,382,42,1,16,1,9,1,36,37,16,18,4,1,1,0,121,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Core\src\main\java\org\tribuo\protos\core\WeightedEnsembleModelProto.java,org.tribuo.protos.core.WeightedEnsembleModelProto$Anonymous1,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Util\InformationTheory\src\main\java\org\tribuo\util\infotheory\impl\WeightedPairDistribution.java,org.tribuo.util.infotheory.impl.WeightedPairDistribution,class,6,8,2,6,11,1,0,17,0,0.53571427,0.0,0.0,7,2,7,0,0,0,7,0,0,0,4,0,1,3,0,0,4,0,5,81,5,2,2,0,2,3,3,39,2,32,2,0,0,5,84,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Common\XGBoost\src\main\java\org\tribuo\common\xgboost\XGBoostExternalModel.java,org.tribuo.common.xgboost.XGBoostExternalModel,class,30,32,2,30,38,2,0,89,0,0.70526314,0.0,0.0,19,6,8,5,6,0,14,0,0,0,5,3,1,3,1,0,4,0,26,186,16,2,0,10,0,21,10,39,4,37,3,0,0,1,302,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Data\src\main\java\org\tribuo\data\text\impl\FeatureHasher.java,org.tribuo.data.text.impl.FeatureHasher,class,8,11,3,8,11,1,0,8,1,0.71428573,0.0,0.0,7,0,6,1,0,0,6,0,0,0,7,3,2,5,0,0,3,0,3,51,2,1,1,0,0,9,10,18,4,13,2,0,0,0,93,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Core\src\main\java\org\tribuo\sequence\IndependentSequenceTrainer.java,org.tribuo.sequence.IndependentSequenceTrainer,class,15,17,2,15,8,1,0,16,13,0.7142857,0.0,0.0,7,0,6,1,0,0,6,0,0,0,3,1,0,3,0,0,1,0,4,37,5,0,0,0,0,6,1,6,1,7,1,0,0,0,52,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Interop\ONNX\src\main\java\org\tribuo\interop\onnx\protos\ONNXExternalModelProtoOrBuilder.java,org.tribuo.interop.onnx.protos.ONNXExternalModelProtoOrBuilder,interface,8,10,2,8,18,1,0,0,153,0.0,0.0,0.0,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Data\src\main\java\org\tribuo\data\columnar\ColumnarDataSource.java,org.tribuo.data.columnar.ColumnarDataSource,class,10,14,4,10,6,1,0,2,7,0.61111116,0.0,0.0,6,0,3,0,3,0,6,1,0,0,3,0,0,1,2,0,0,0,0,59,3,0,0,0,0,3,0,4,0,3,0,0,1,0,65,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Core\src\main\java\org\tribuo\protos\core\MinimumCardinalitySequenceDatasetProto.java,org.tribuo.protos.core.MinimumCardinalitySequenceDatasetProto$Builder,innerclass,22,22,0,22,130,1,0,77,1711,0.85820895,0.0,0.0,67,1,59,7,1,0,60,0,4,0,8,0,0,8,0,0,0,0,13,533,71,0,48,1,19,0,27,59,0,12,3,0,0,0,112,25,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Math\src\main\java\org\tribuo\math\neighbour\kdtree\KDTreeFactory.java,org.tribuo.math.neighbour.kdtree.KDTreeFactory,class,13,16,3,13,17,1,0,10,7,0.70000005,0.0,0.0,10,1,9,1,0,0,9,0,0,1,4,2,1,3,0,0,2,0,1,46,9,0,4,0,0,6,5,8,1,6,1,0,0,0,114,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Regression\Core\src\main\java\org\tribuo\regression\example\NonlinearGaussianDataSource.java,org.tribuo.regression.example.NonlinearGaussianDataSource,class,16,21,5,16,14,2,0,7,14,0.65625,0.0,0.0,8,1,7,1,0,0,7,0,0,0,12,1,0,12,0,0,2,0,2,94,4,1,1,0,7,27,19,33,18,23,1,0,1,0,108,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Classification\SGD\src\main\java\org\tribuo\classification\sgd\kernel\KernelSVMOptions.java,org.tribuo.classification.sgd.kernel.KernelSVMOptions,class,11,15,4,11,5,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,9,1,8,1,0,0,1,0,2,43,1,0,0,0,0,28,6,14,5,10,1,0,1,0,78,1,6
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Common\XGBoost\src\main\java\org\tribuo\common\xgboost\protos\XGBoostModelProto.java,org.tribuo.common.xgboost.protos.XGBoostModelProto$Builder,innerclass,20,20,0,20,96,1,0,57,906,0.82986116,0.0,0.0,48,1,41,6,1,0,42,0,4,0,6,0,0,6,0,0,0,0,10,359,50,0,37,1,10,0,11,46,0,10,2,0,0,0,98,25,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\tribuo\Classification\Core\src\test\java\org\tribuo\classification\sequence\viterbi\ViterbiModelTest.java,org.tribuo.classification.sequence.viterbi.ViterbiModelTest,class,3,3,0,3,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,12,10,2,0,2,0,0,0,0,12,1,0
