file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\3.8-json\genson\src\main\java\genson\GensonHelloWorld.java,genson.GensonHelloWorld$Place,innerclass,0,0,0,0,4,1,0,0,0,0.25,0.0,0.0,4,0,2,0,0,2,4,0,0,0,1,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,0,2,0,1,0,0,0,0,5,10,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\1.6-usefull-libraries\dependency_injection\dependency-injection-dagger\src\dagger\SimpleDaggerDI.java,dagger.SimpleDaggerDI$TestModule,innerclass,4,4,0,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\1.1-common-frameworks-and-lib\quasar\src\main\java\FiberSleepHelloWorld.java,FiberSleepHelloWorld,class,1,2,1,1,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,3,0,2,0,2,0,1,0,0,24,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\1.6-usefull-libraries\collections\guava\src\GuavaEnumBiMapTest.java,GuavaEnumBiMapTest$POLISH_WORD,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\1.6-usefull-libraries\bean_mapping\dozer\src\main\java\dozer\DozerHelloWorldAnnotation.java,dozer.DozerHelloWorldAnnotation,class,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,3,0,3,0,0,2,0,23,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\4.1-testing\mockito\src\main\java\Product.java,Product,class,0,6,6,0,4,1,0,0,0,0.25,0.0,0.0,4,0,1,0,0,3,4,0,0,0,2,0,0,2,0,0,2,0,0,17,3,0,0,0,0,3,0,2,2,2,0,0,0,0,12,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\1.6-usefull-libraries\collections\guava\src\GuavaConcurrentHashMultisetTest.java,GuavaConcurrentHashMultisetTest,class,1,1,0,1,1,1,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,12,0,2,5,2,0,0,0,0,20,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\1.6-usefull-libraries\functional_programming\jdk_stream_api\src\main\java\streamapi\SortedTests.java,streamapi.SortedTests$Sex,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\9.9-template\library_name\src\main\java\library_package\advanced\AdvancedTemplate.java,library_package.advanced.AdvancedTemplate,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\3.8-json\gson\src\main\java\gson\advanced\StreamingAPI.java,gson.advanced.StreamingAPI,class,4,5,1,4,7,1,0,18,3,0.0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,45,0,1,3,0,0,12,0,6,1,6,2,0,0,0,34,1,0
