file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\3.8-json\genson\src\main\java\genson\GensonHelloWorld.java,genson.GensonHelloWorld$Place,Place/1[java.lang.String],true,77,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\3.8-json\genson\src\main\java\genson\GensonHelloWorld.java,genson.GensonHelloWorld$Place,getName/0,false,69,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\3.8-json\genson\src\main\java\genson\GensonHelloWorld.java,genson.GensonHelloWorld$Place,setName/1[java.lang.String],false,73,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\3.8-json\genson\src\main\java\genson\GensonHelloWorld.java,genson.GensonHelloWorld$Place,Place/0,true,81,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\1.6-usefull-libraries\dependency_injection\dependency-injection-dagger\src\dagger\SimpleDaggerDI.java,dagger.SimpleDaggerDI$TestModule,provideNotificationService/0,false,38,3,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\1.6-usefull-libraries\dependency_injection\dependency-injection-dagger\src\dagger\SimpleDaggerDI.java,dagger.SimpleDaggerDI$TestModule,provideNotifier/1[dagger.SimpleDaggerDI.NotificationService],false,42,3,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\1.1-common-frameworks-and-lib\quasar\src\main\java\FiberSleepHelloWorld.java,FiberSleepHelloWorld,doTest/0,false,14,1,1,1,0,1,3,16,1,2,0,3,0,0,0,0,0,0,3,0,2,0,0,1,0,0,14,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\1.6-usefull-libraries\bean_mapping\dozer\src\main\java\dozer\DozerHelloWorldAnnotation.java,dozer.DozerHelloWorldAnnotation,main/1[java.lang.String[]],false,42,4,2,0,2,1,2,6,0,3,1,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,12,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\4.1-testing\mockito\src\main\java\Product.java,Product,"Product/2[java.lang.String,int]",true,8,0,3,3,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\4.1-testing\mockito\src\main\java\Product.java,Product,getName/0,false,13,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\4.1-testing\mockito\src\main\java\Product.java,Product,getCost/0,false,17,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\4.1-testing\mockito\src\main\java\Product.java,Product,toString/0,false,22,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\1.6-usefull-libraries\collections\guava\src\GuavaConcurrentHashMultisetTest.java,GuavaConcurrentHashMultisetTest,main/1[java.lang.String[]],false,9,1,0,0,0,1,7,13,0,2,1,7,0,0,0,0,0,0,12,0,2,5,0,0,0,0,15,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\9.9-template\library_name\src\main\java\library_package\advanced\AdvancedTemplate.java,library_package.advanced.AdvancedTemplate,main/1[java.lang.String[]],false,9,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\useful-java-links\helloworlds\3.8-json\gson\src\main\java\gson\advanced\StreamingAPI.java,gson.advanced.StreamingAPI,main/1[java.lang.String[]],false,16,1,2,0,2,1,4,7,0,0,1,4,2,1,0,0,0,0,2,0,0,0,0,0,0,0,8,9,0,false
