file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\vespa\documentapi\src\test\java\com\yahoo\documentapi\messagebus\Destination.java,com.yahoo.documentapi.messagebus.Destination,class,23,24,1,23,10,1,0,30,0,0.26666668,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,0,0,4,0,1,5,0,1,55,1,0,0,1,6,5,1,9,1,7,2,0,0,0,57,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\vespa\searchlib\src\main\java\com\yahoo\searchlib\expression\IntegerBucketResultNode.java,com.yahoo.searchlib.expression.IntegerBucketResultNode,class,6,11,5,6,17,4,0,7,0,0.45454547,0.0,0.0,11,0,7,0,4,0,11,0,0,0,3,1,1,2,0,0,1,0,0,50,11,0,2,0,1,2,9,8,3,4,1,0,0,0,53,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\vespa\vespa-athenz\src\main\java\com\yahoo\vespa\athenz\client\zms\bindings\RoleEntity.java,com.yahoo.vespa.athenz.client.zms.bindings.RoleEntity$Member,innerclass,3,3,0,3,6,1,0,0,5,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,5,0,0,5,0,0,5,0,0,29,5,0,0,0,0,5,0,5,0,5,0,0,0,0,14,25,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\vespa\vespajlib\src\main\java\com\yahoo\collections\TinyIdentitySet.java,com.yahoo.collections.TinyIdentitySet$ArrayIterator,innerclass,2,2,0,2,7,1,0,2,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,24,2,0,1,0,0,4,3,4,1,2,1,0,0,0,24,2,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\vespa\linguistics-components\src\test\java\com\yahoo\language\sentencepiece\SentencePieceTest.java,com.yahoo.language.sentencepiece.SentencePieceTest,class,5,5,0,5,7,1,0,13,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,155,16,12,0,12,0,0,0,0,42,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\vespa\container-search\src\main\java\com\yahoo\search\grouping\request\MathResolver.java,com.yahoo.search.grouping.request.MathResolver$Item,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,1,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,10,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\vespa\container-search\src\test\java\com\yahoo\prelude\fastsearch\IndexedBackendTestCase.java,com.yahoo.prelude.fastsearch.IndexedBackendTestCase,class,25,26,1,25,15,1,0,56,36,0.61538464,0.0,0.0,13,2,0,7,0,6,6,0,0,0,3,3,0,3,0,0,3,0,21,105,5,2,0,0,0,29,18,34,1,32,1,0,0,0,115,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\vespa\vespajlib\src\test\java\com\yahoo\data\access\InspectorConformanceTestBase.java,com.yahoo.data.access.InspectorConformanceTestBase$Anonymous33,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\vespa\indexinglanguage\src\main\java\com\yahoo\vespa\indexinglanguage\expressions\SummaryExpression.java,com.yahoo.vespa.indexinglanguage.expressions.SummaryExpression,class,2,3,1,2,2,4,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\vespa\vespajlib\src\test\java\com\yahoo\data\access\InspectorConformanceTestBase.java,com.yahoo.data.access.InspectorConformanceTestBase$Anonymous32,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
