file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\weka\src\main\java\weka\clusterers\AbstractClusterer.java,weka.clusterers.AbstractClusterer,class,14,33,19,14,37,1,9,30,227,0.939394,0.0,0.0,22,4,22,0,0,0,22,2,0,0,3,1,0,1,2,0,1,0,2,124,13,2,5,2,7,22,8,15,4,11,2,0,0,0,237,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\weka\src\main\java\weka\gui\simplecli\Script.java,weka.gui.simplecli.Script,class,2,2,0,2,10,2,0,7,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,34,3,2,1,1,0,6,3,2,2,2,3,0,0,0,52,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\weka\src\main\java\weka\core\NominalAttributeInfo.java,weka.core.NominalAttributeInfo,class,2,3,1,2,6,1,1,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,30,0,1,1,1,1,6,1,7,2,4,4,0,0,0,40,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\packages\internal\distributedWekaSparkDev\src\main\java\distributed\spark\BaseSparkJobConfig.java,BaseSparkJobConfig,class,22,23,1,22,96,1,2,76,557,0.97037035,0.0,0.0,35,1,31,3,1,0,34,0,0,0,27,21,17,1,9,0,18,0,0,384,27,11,5,5,3,139,21,82,34,66,5,0,0,0,296,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\weka\src\main\java\weka\core\matrix\CholeskyDecomposition.java,weka.core.matrix.CholeskyDecomposition,class,3,4,1,3,18,1,0,7,0,0.55,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,1,0,4,0,0,1,0,2,68,4,10,3,0,4,3,17,34,11,21,3,0,0,0,105,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\weka\src\main\java\weka\associations\LabeledItemSet.java,weka.associations.LabeledItemSet,class,7,10,3,7,63,2,0,35,46,0.7083333,0.0,0.0,16,8,16,0,0,0,16,0,6,0,3,1,0,1,2,0,1,0,2,234,17,19,19,0,14,4,39,58,2,43,5,0,0,0,221,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\packages\external\ordinalStochasticDominance\src\main\java\weka\classifiers\misc\monotone\CumulativeDiscreteDistribution.java,weka.classifiers.misc.monotone.CumulativeDiscreteDistribution,class,5,10,5,5,31,1,0,10,0,0.6969697,0.0,0.0,11,1,10,1,0,0,10,0,0,0,3,2,0,3,0,0,2,0,5,86,14,6,7,0,2,7,26,19,12,12,2,0,0,0,166,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\packages\internal\timeseriesForecasting\src\main\java\weka\classifiers\timeseries\gui\AdvancedConfigPanel.java,weka.classifiers.timeseries.gui.AdvancedConfigPanel$AttributeSelectionPanelExtended,innerclass,1,1,0,1,3,2,0,3,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,15,1,0,0,0,0,0,1,2,0,1,0,0,0,0,34,4,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\packages\external\associationRulesVisualizer\src\main\java\weka\gui\visualize\plugins\ARulesViewer.java,weka.gui.visualize.plugins.ARulesViewer$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\packages\external\associationRulesVisualizer\src\main\java\weka\gui\visualize\plugins\ARulesViewer.java,weka.gui.visualize.plugins.ARulesViewer$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\weka\src\main\java\weka\gui\beans\PluginManager.java,weka.gui.beans.PluginManager,class,0,7,7,0,22,1,0,12,210,0.0,0.0,0.0,21,21,21,0,0,0,21,0,0,11,0,0,0,0,0,0,0,0,0,67,6,1,0,0,0,0,0,0,0,0,1,0,0,0,155,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\weka\src\main\java\weka\core\neighboursearch\BallTree.java,weka.core.neighboursearch.BallTree,class,16,18,2,16,65,2,0,73,222,0.88571435,0.0,0.0,25,0,23,0,2,0,25,0,0,0,7,1,0,1,6,0,1,0,6,244,19,5,23,0,1,45,20,50,14,28,4,0,0,0,358,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\weka\src\main\java\weka\gui\CloseableTabTitle.java,weka.gui.CloseableTabTitle$TabButton$Anonymous2,anonymous,0,0,0,0,5,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,2,0,5,1,5,2,0,0,0,19,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\weka\src\main\java\weka\gui\sql\SqlViewerDialog.java,weka.gui.sql.SqlViewerDialog,class,4,6,2,4,14,6,0,29,27,0.8321679,0.0,0.0,11,1,10,0,1,0,11,0,0,0,13,1,0,1,12,0,1,0,0,119,6,0,1,0,0,17,1,23,6,17,1,3,0,0,128,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\packages\external\citationKNN\src\main\java\weka\classifiers\mi\CitationKNN.java,weka.classifiers.mi.CitationKNN$NeighborList,innerclass,4,4,0,4,27,1,0,11,0,0.6875,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,1,0,3,0,1,1,0,0,97,4,6,9,0,7,13,8,30,5,13,3,0,0,0,102,2,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\weka\src\main\java\weka\core\ClassCache.java,weka.core.ClassCache$DirectoryFilter,innerclass,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\weka\src\main\java\weka\core\pmml\jaxbbindings\SimpleMatching.java,weka.core.pmml.jaxbbindings.SimpleMatching,class,5,7,2,5,2,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,9,1,0,1,0,0,5,0,1,0,1,1,0,0,0,84,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\weka\wekaexamples\src\main\java\wekaexamples\core\converters\LoadDataFromAnyFile.java,wekaexamples.core.converters.LoadDataFromAnyFile,class,1,1,0,1,2,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,1,0,0,4,5,1,1,1,1,0,0,0,52,1,0
