file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\config\PredictorConfiguration.java,biz.k11i.xgboost.config.PredictorConfiguration,class,3,12,9,3,2,1,0,0,1,0.75,0.0,0.0,2,1,2,0,0,0,2,0,0,0,2,1,1,1,0,0,1,0,0,25,2,0,0,0,0,0,0,1,0,2,0,0,1,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\learner\ObjFunction.java,biz.k11i.xgboost.learner.ObjFunction$RegLossObjLogistic,innerclass,3,3,0,3,4,2,0,2,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,14,3,1,0,0,2,0,3,2,2,1,1,0,0,0,11,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\test\java\biz\k11i\xgboost\GBLinearPredictorTest.java,biz.k11i.xgboost.GBLinearPredictorTest,class,11,11,0,11,1,3,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,3,3,0,0,0,3,0,2,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,25,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\util\FVec.java,biz.k11i.xgboost.util.FVecArrayImpl$FVecDoubleArrayImplement,innerclass,2,2,0,2,4,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,18,3,0,1,0,0,0,0,3,0,3,1,0,0,0,14,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\config\PredictorConfiguration.java,biz.k11i.xgboost.config.PredictorConfiguration$Builder,innerclass,3,3,0,3,3,1,0,0,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,15,2,0,0,0,0,0,0,4,0,2,0,0,0,0,10,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\gbm\GBTree.java,biz.k11i.xgboost.gbm.GBTree$ModelParam,innerclass,2,2,0,2,2,1,0,3,0,0.2857143,0.0,0.0,2,0,0,0,0,2,2,0,0,0,7,0,0,0,0,7,7,0,0,23,1,0,0,0,1,0,2,7,2,7,0,0,0,0,22,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\test\java\biz\k11i\xgboost\DartPredictorTest.java,biz.k11i.xgboost.DartPredictorTest,class,11,11,0,11,1,3,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,3,3,0,0,0,3,0,2,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,25,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\PredictionTestBase.java,biz.k11i.xgboost.test.PredictionTestBase,class,7,9,2,7,3,1,2,14,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,113,0,2,0,0,0,3,3,7,0,7,2,0,2,0,23,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\GBPredictorTestBase.java,biz.k11i.xgboost.test.GBPredictorTestBase$TestParameter$Builder,innerclass,3,3,0,3,9,1,0,5,7,0.6666667,0.0,0.0,6,1,6,0,0,0,6,0,0,0,5,0,0,5,0,0,0,0,3,41,6,3,0,0,0,3,0,8,0,8,2,0,0,0,22,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\test\java\biz\k11i\xgboost\PredictionUsingSparkModelTest.java,biz.k11i.xgboost.PredictionUsingSparkModelTest$TestDataSet,innerclass,4,4,0,4,4,1,0,2,0,0.375,0.0,0.0,4,0,0,0,0,4,4,0,0,0,2,0,0,0,0,2,2,0,2,17,3,0,0,0,0,5,0,2,3,2,0,0,0,0,12,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\gbm\GBTree.java,biz.k11i.xgboost.gbm.GBTree,class,8,11,3,8,22,2,1,9,9,0.67857146,0.0,0.0,7,0,4,0,0,3,7,0,0,0,4,0,0,2,0,2,0,0,2,93,5,7,6,0,0,1,22,25,3,18,3,0,1,0,48,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\tree\RegTree.java,biz.k11i.xgboost.tree.RegTree,class,5,7,2,5,7,1,0,1,0,0.44444445,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,107,2,4,0,0,1,0,2,12,0,8,1,0,3,0,49,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\Predictor.java,biz.k11i.xgboost.Predictor$ModelParam,innerclass,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,5,0,0,0,0,5,5,0,0,14,0,0,0,0,0,0,1,5,0,5,0,0,0,0,17,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\test\java\biz\k11i\xgboost\ModelLoadingTest.java,biz.k11i.xgboost.ModelLoadingTest$LazyInputStream,innerclass,2,2,0,2,8,2,0,2,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,23,3,0,2,0,0,0,5,3,1,2,1,0,0,0,19,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\PredictionTestBase.java,biz.k11i.xgboost.test.PredictionTestBase$PredictionTask,innerclass,6,6,0,6,14,1,0,0,70,0.8076923,0.0,0.0,13,8,9,1,0,3,12,1,0,0,2,0,0,1,0,1,2,0,0,81,10,1,0,0,0,9,1,5,0,4,1,7,0,0,26,1033,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\TestHelper.java,biz.k11i.xgboost.TestHelper$TestData,innerclass,3,3,0,3,7,1,0,9,0,0.16666667,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,0,0,2,2,0,4,30,2,2,1,1,1,3,4,10,1,10,4,0,0,0,27,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\TestParameters.java,biz.k11i.xgboost.test.TestParameters,class,3,6,3,3,4,1,0,12,6,0.0,0.0,0.0,4,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,13,3,0,0,0,0,44,2,0,0,0,0,0,0,0,13,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\spark\SparkModelParam.java,biz.k11i.xgboost.spark.SparkModelParam,class,2,3,1,2,10,1,0,4,9,0.75000006,0.0,0.0,7,0,7,0,0,0,7,0,0,0,8,2,2,0,0,6,8,0,0,46,6,0,0,0,0,3,1,11,1,9,1,0,0,0,40,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\gbm\GBLinear.java,biz.k11i.xgboost.gbm.GBLinear$ModelParam,innerclass,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,1,3,0,3,0,0,0,0,13,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\util\FVec.java,biz.k11i.xgboost.util.FVecArrayImpl$FVecFloatArrayImplement,innerclass,2,2,0,2,4,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,18,3,0,1,0,0,0,0,3,0,3,1,0,0,0,14,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\Predictor.java,biz.k11i.xgboost.Predictor,class,12,26,14,12,39,1,0,28,82,0.78431374,0.0,0.0,17,0,12,0,0,5,17,0,0,0,6,0,0,6,0,0,0,0,3,131,14,1,19,0,2,0,39,30,3,18,2,0,1,0,111,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\PredictionTestBase.java,biz.k11i.xgboost.test.PredictionTestBase$PredictionTask$Anonymous7,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\PredictionTestBase.java,biz.k11i.xgboost.test.PredictionTestBase$PredictionTask$Anonymous6,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\PredictionTestBase.java,biz.k11i.xgboost.test.PredictionTestBase$PredictionTask$Anonymous5,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\PredictionTestBase.java,biz.k11i.xgboost.test.PredictionTestBase$PredictionTask$Anonymous4,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\PredictionTestBase.java,biz.k11i.xgboost.test.PredictionTestBase$PredictionTask$Anonymous3,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\learner\ObjFunction.java,biz.k11i.xgboost.learner.ObjFunction,class,7,18,11,7,8,8,6,3,8,0.6,0.0,0.0,5,3,5,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,14,104,3,0,1,0,0,15,0,2,1,2,1,0,5,0,71,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\PredictionTestBase.java,biz.k11i.xgboost.test.PredictionTestBase$PredictionTask$Anonymous2,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\PredictionTestBase.java,biz.k11i.xgboost.test.PredictionTestBase$PredictionTask$Anonymous1,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
