file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\config\PredictorConfiguration.java,biz.k11i.xgboost.config.PredictorConfiguration,getObjFunction/0,false,29,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\config\PredictorConfiguration.java,biz.k11i.xgboost.config.PredictorConfiguration,builder/0,false,33,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\learner\ObjFunction.java,biz.k11i.xgboost.learner.ObjFunction$RegLossObjLogistic,predTransform/1[double],false,106,1,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\learner\ObjFunction.java,biz.k11i.xgboost.learner.ObjFunction$RegLossObjLogistic,predTransform/1[double[]],false,98,2,1,0,1,2,1,6,1,1,1,1,1,1,1,0,0,0,0,1,2,0,1,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\learner\ObjFunction.java,biz.k11i.xgboost.learner.ObjFunction$RegLossObjLogistic,sigmoid/1[double],false,110,0,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\test\java\biz\k11i\xgboost\GBLinearPredictorTest.java,biz.k11i.xgboost.GBLinearPredictorTest,tearDown/0,false,27,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\util\FVec.java,biz.k11i.xgboost.util.FVecArrayImpl$FVecDoubleArrayImplement,fvalue/1[int],false,180,0,0,0,0,3,0,10,3,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\util\FVec.java,biz.k11i.xgboost.util.FVecArrayImpl$FVecDoubleArrayImplement,"FVecDoubleArrayImplement/2[double[],double]",true,174,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\config\PredictorConfiguration.java,biz.k11i.xgboost.config.PredictorConfiguration$Builder,Builder/0,true,9,1,2,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\config\PredictorConfiguration.java,biz.k11i.xgboost.config.PredictorConfiguration$Builder,objFunction/1[biz.k11i.xgboost.learner.ObjFunction],false,13,2,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\config\PredictorConfiguration.java,biz.k11i.xgboost.config.PredictorConfiguration$Builder,build/0,false,18,1,0,0,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\gbm\GBTree.java,biz.k11i.xgboost.gbm.GBTree$ModelParam,predBufferSize/0,false,141,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,10,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\main\java\biz\k11i\xgboost\gbm\GBTree.java,biz.k11i.xgboost.gbm.GBTree$ModelParam,ModelParam/1[biz.k11i.xgboost.util.ModelReader],true,129,1,4,1,3,1,3,11,0,0,1,3,0,0,0,0,0,0,0,1,7,0,0,0,0,0,18,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor\src\test\java\biz\k11i\xgboost\DartPredictorTest.java,biz.k11i.xgboost.DartPredictorTest,tearDown/0,false,27,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\PredictionTestBase.java,biz.k11i.xgboost.test.PredictionTestBase,"verify/4[biz.k11i.xgboost.test.PredictionTestBase.PredictionModel,biz.k11i.xgboost.TestHelper.TestData,biz.k11i.xgboost.TestHelper.Expectation,biz.k11i.xgboost.test.PredictionTestBase.PredictionTask]",false,137,7,8,2,6,3,14,14,0,7,4,14,0,0,2,0,0,0,3,3,7,0,2,0,0,0,21,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\GBPredictorTestBase.java,biz.k11i.xgboost.test.GBPredictorTestBase$TestParameter$Builder,tasks/1[biz.k11i.xgboost.test.PredictionTestBase.PredictionTask[]],false,44,2,3,3,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\GBPredictorTestBase.java,biz.k11i.xgboost.test.GBPredictorTestBase$TestParameter$Builder,merge/1[biz.k11i.xgboost.test.GBPredictorTestBase.TestParameter.Builder[]],false,67,2,4,3,1,2,2,7,1,1,1,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,5,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\xgboost-predictor-java\xgboost-predictor-test\src\main\java\biz\k11i\xgboost\test\GBPredictorTestBase.java,biz.k11i.xgboost.test.GBPredictorTestBase$TestParameter$Builder,build/0,false,49,2,3,1,2,3,3,10,1,2,0,3,0,0,2,0,0,0,3,0,2,0,2,0,0,0,12,1,0,false
