file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\param\TransformParams.java,com.fenbi.ytklearn.param.TransformParams$ScaleRange,innerclass,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,1,3,0,0,0,1,0,0,9,0,0,0,0,0,3,0,3,2,3,0,0,0,0,9,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\PoissonFunction.java,com.fenbi.ytklearn.loss.PoissonFunction,class,3,5,2,3,16,1,0,6,25,0.76666665,0.0,0.0,10,1,9,1,0,0,10,0,5,0,3,3,3,0,0,0,3,0,13,55,9,3,0,0,0,4,15,15,9,8,2,0,0,0,37,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\param\gbdt\GBDTModelParams.java,com.fenbi.ytklearn.param.gbdt.GBDTModelParams,class,4,7,3,4,5,1,0,7,0,0.35714287,NaN,NaN,2,0,1,1,0,0,1,0,0,0,7,1,7,0,0,0,1,0,2,25,0,0,1,0,0,9,3,8,6,7,1,0,0,0,34,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\data\gbdt\TimeStats.java,com.fenbi.ytklearn.data.gbdt.TimeStats,class,2,6,4,2,5,1,0,1,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,6,0,6,0,0,0,0,0,1,38,1,1,0,0,0,8,34,20,19,7,1,0,0,0,20,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\param\gbdt\GBDTCommonParams.java,com.fenbi.ytklearn.param.gbdt.GBDTCommonParams,class,8,12,4,8,3,1,0,5,0,0.3,NaN,NaN,2,2,1,1,0,0,1,0,0,0,5,0,5,0,0,0,0,0,4,29,1,0,6,0,4,8,4,9,0,9,1,0,0,0,36,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\ExponentialFunction.java,com.fenbi.ytklearn.loss.ExponentialFunction,class,1,2,1,1,5,1,0,2,4,0.4,0.0,0.0,5,0,5,0,0,0,5,0,4,0,1,1,1,0,0,0,1,0,6,24,5,0,0,0,0,1,7,7,11,4,0,0,0,0,21,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\dataflow\DataUtils.java,com.fenbi.ytklearn.dataflow.DataUtils$BufferedLineIterator,innerclass,1,1,0,1,9,1,0,5,0,0.375,0.0,0.0,4,0,3,1,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,36,3,0,3,2,0,2,0,2,0,2,2,0,0,0,18,9,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\eval\AucEvaluator.java,com.fenbi.ytklearn.eval.AucEvaluator,class,6,8,2,6,15,2,0,7,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,5,73,3,4,5,0,9,8,41,34,30,18,3,0,0,0,59,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\utils\ApproximateQuantile.java,com.fenbi.ytklearn.utils.ApproximateQuantile$Summary,innerclass,4,4,0,4,106,1,0,22,0,0.6142858,0.0,0.0,21,0,21,0,0,0,21,0,0,0,10,0,0,0,0,10,0,0,14,333,17,16,7,0,4,27,80,116,53,58,4,0,0,0,66,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\param\DataParams.java,com.fenbi.ytklearn.param.DataParams$Test,innerclass,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,1,3,0,0,0,1,0,0,9,0,0,0,0,0,3,0,3,2,3,0,0,0,0,12,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\eval\EvalSet.java,com.fenbi.ytklearn.eval.EvalSet,class,6,11,5,6,5,1,0,8,0,0.4166667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,1,1,3,0,0,1,0,2,24,1,2,0,0,0,2,0,6,0,6,1,0,0,0,31,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\dataflow\FFMModelDataFlow.java,com.fenbi.ytklearn.dataflow.FFMModelDataFlow,class,17,20,3,17,57,5,0,45,46,0.83216786,0.0,0.0,13,0,6,0,7,0,13,0,0,0,11,0,0,11,0,0,0,0,15,326,7,20,7,1,7,35,80,99,57,74,5,0,1,1,125,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\param\LineSearchParams.java,com.fenbi.ytklearn.param.LineSearchParams$LBFGSParams,innerclass,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,1,3,0,0,0,1,0,0,18,0,0,0,0,0,2,0,3,2,3,0,0,1,0,15,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\data\gbdt\TreeGrowPolicy.java,com.fenbi.ytklearn.data.gbdt.TreeGrowPolicy,enum,1,4,3,1,5,1,0,3,1,0.33333334,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,16,3,1,0,0,0,2,0,1,0,1,2,0,0,0,26,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\optimizer\gbdt\FeatureParallelTreeMakerByLevel.java,com.fenbi.ytklearn.optimizer.gbdt.FeatureParallelTreeMakerByLevel$TreeMakerNodeStats,innerclass,2,2,0,2,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,8,0,8,0,0,0,0,0,0,30,0,0,0,0,0,0,8,13,0,8,0,0,0,0,23,2,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\dataflow\GBHSDTDataFlow.java,com.fenbi.ytklearn.dataflow.GBHSDTDataFlow,class,11,13,2,11,20,5,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,3,64,0,11,2,0,5,3,39,34,31,23,5,0,0,0,48,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\utils\StringUtils.java,com.fenbi.ytklearn.utils.StringUtils,class,4,6,2,4,13,1,0,7,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,51,6,3,6,0,0,10,13,9,2,8,2,0,0,0,14,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\param\RandomParams.java,com.fenbi.ytklearn.param.RandomParams,class,7,12,5,7,3,1,0,7,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,5,1,5,0,0,0,1,0,3,60,0,0,1,0,0,6,0,7,5,7,0,0,3,0,44,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\utils\WeightApproximateQuantile.java,com.fenbi.ytklearn.utils.WeightApproximateQuantile$Summary,innerclass,5,5,0,5,100,1,0,18,0,0.63223135,0.0,0.0,22,0,21,1,0,0,21,0,0,0,11,0,0,0,0,11,0,0,10,325,18,16,5,0,2,11,76,124,44,61,4,0,0,0,66,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\operation\GBDTOperation.java,com.fenbi.ytklearn.operation.GBDTOperation,class,5,6,1,5,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,1,0
