file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\param\TransformParams.java,com.fenbi.ytklearn.param.TransformParams$ScaleRange,"ScaleRange/2[com.fenbi.ytklearn.param.Config,java.lang.String]",true,83,1,1,1,0,1,1,4,0,0,2,1,0,0,0,0,0,0,2,0,2,2,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\PoissonFunction.java,com.fenbi.ytklearn.loss.PoissonFunction,(initializer 1),false,34,0,0,0,0,2,1,7,0,1,0,1,0,0,1,0,0,0,0,6,4,2,1,0,0,0,3,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\PoissonFunction.java,com.fenbi.ytklearn.loss.PoissonFunction,"getDerivativeFast/3[double,double,double[]]",false,79,1,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\PoissonFunction.java,com.fenbi.ytklearn.loss.PoissonFunction,predict/1[double],false,59,0,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\PoissonFunction.java,com.fenbi.ytklearn.loss.PoissonFunction,main/1[java.lang.String[]],false,95,1,2,0,2,2,4,6,0,2,1,4,1,2,1,0,0,0,3,3,3,1,1,0,0,0,6,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\PoissonFunction.java,com.fenbi.ytklearn.loss.PoissonFunction,"firstDerivative/2[double,double]",false,69,0,0,0,0,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,17,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\PoissonFunction.java,com.fenbi.ytklearn.loss.PoissonFunction,checkLabel/1[float],false,86,0,0,0,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\PoissonFunction.java,com.fenbi.ytklearn.loss.PoissonFunction,getName/0,false,91,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\PoissonFunction.java,com.fenbi.ytklearn.loss.PoissonFunction,"secondDerivative/2[double,double]",false,74,0,0,0,0,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\PoissonFunction.java,com.fenbi.ytklearn.loss.PoissonFunction,pred2Score/1[double],false,64,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\PoissonFunction.java,com.fenbi.ytklearn.loss.PoissonFunction,logyfunc/1[int],false,42,0,1,1,0,3,1,12,2,2,1,1,0,0,1,0,0,0,0,1,3,1,2,0,0,0,5,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\PoissonFunction.java,com.fenbi.ytklearn.loss.PoissonFunction,"loss/2[double,double]",false,54,1,2,1,1,1,3,3,1,0,2,3,1,1,0,0,0,0,0,0,0,3,0,0,0,0,4,17,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\param\gbdt\GBDTModelParams.java,com.fenbi.ytklearn.param.gbdt.GBDTModelParams,"GBDTModelParams/2[com.fenbi.ytklearn.param.gbdt.Config,java.lang.String]",true,48,2,2,1,1,2,4,12,0,0,2,4,1,1,0,1,0,0,6,1,7,6,1,0,0,0,22,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\param\gbdt\GBDTModelParams.java,com.fenbi.ytklearn.param.gbdt.GBDTModelParams,checkParams/0,false,62,1,2,1,1,3,3,4,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,15,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\data\gbdt\TimeStats.java,com.fenbi.ytklearn.data.gbdt.TimeStats,add/1[com.fenbi.ytklearn.data.gbdt.TimeStats],false,58,1,1,1,0,2,0,10,0,1,1,0,0,0,1,0,0,0,0,1,7,0,1,0,0,0,13,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\data\gbdt\TimeStats.java,com.fenbi.ytklearn.data.gbdt.TimeStats,clear/0,false,48,0,1,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,13,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\data\gbdt\TimeStats.java,com.fenbi.ytklearn.data.gbdt.TimeStats,TimeStats/0,true,39,1,1,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,13,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\data\gbdt\TimeStats.java,com.fenbi.ytklearn.data.gbdt.TimeStats,getStats/0,false,69,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,8,17,0,19,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\param\gbdt\GBDTCommonParams.java,com.fenbi.ytklearn.param.gbdt.GBDTCommonParams,loadParams/1[com.fenbi.ytklearn.param.gbdt.Config],false,46,6,7,1,6,1,2,10,1,1,1,2,1,1,0,0,0,0,5,0,6,0,0,0,0,0,16,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\param\gbdt\GBDTCommonParams.java,com.fenbi.ytklearn.param.gbdt.GBDTCommonParams,checkParams/1[com.fenbi.ytklearn.param.gbdt.GBDTCommonParams],false,59,2,2,1,1,2,3,12,0,3,1,3,0,0,0,6,0,4,3,4,3,0,1,0,0,0,22,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\ExponentialFunction.java,com.fenbi.ytklearn.loss.ExponentialFunction,"loss/2[double,double]",false,33,0,0,0,0,1,2,5,1,1,2,2,0,0,0,0,0,0,0,2,2,3,0,0,0,0,4,17,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\ExponentialFunction.java,com.fenbi.ytklearn.loss.ExponentialFunction,"secondDerivative/2[double,double]",false,52,0,0,0,0,1,2,5,1,1,2,2,0,0,0,0,0,0,0,2,2,4,0,0,0,0,5,17,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ytk-learn\src\main\java\com\fenbi\ytklearn\loss\ExponentialFunction.java,com.fenbi.ytklearn.loss.ExponentialFunction,getName/0,false,59,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
