;metric;avg;std;median;mode;percentile70;percentile90;chebyshev
19;abstractMethodsQty;0.05500929770486792;0.6515429627493393;0.0;0;0.0;0.0;(-0.9751705801662092, 1.085189175575945)
43;anonymousClassesQty;0.11901062230939705;0.9909989666147131;0.0;0.0;0.0;0.0;(-1.4478963243784315, 1.6859175689972254)
39;assignmentsQty;14.348358254578802;79.4768114823561;3.0;0.0;9.0;32.0;(-111.31551447145542, 140.01223098061303)
0;cbo;6.71014086659704;7.876326628580631;5.0;2;8.0;15.0;(-5.7434250042778885, 19.16370673747197)
1;cboModified;9.366113049901928;12.427297562738946;6.0;2;10.0;20.0;(-10.28316967955523, 29.01539577935909)
34;comparisonsQty;1.9940265430369106;8.792712055428659;0.0;0;1.0;5.0;(-11.908471909550709, 15.896524995624532)
27;defaultFieldsQty;0.21841964490409355;1.3875345556341008;0.0;0;0.0;0.0;(-1.9754651190925947, 2.412304408900782)
17;defaultMethodsQty;0.784280510482207;4.75528186902918;0.0;0;0.0;2.0;(-6.73448030063515, 8.303041321599565)
5;dit;1.654189061823369;2.480640688508877;1.0;1;2.0;3.0;(-2.268048254264796, 5.576426377911534)
2;fanin;2.6464961662888147;8.511710674987281;1.0;0;2.0;6.0;(-10.811700092375684, 16.104692424953313)
3;fanout;6.719616883613114;7.890366853917339;5.0;2;8.0;15.0;(-5.756148532724817, 19.195382299951042)
28;finalFieldsQty;1.0999057492931197;4.629387893784801;0.0;0;1.0;3.0;(-6.2197992090916925, 8.419610707677933)
20;finalMethodsQty;0.0999057492931197;1.4991595185521291;0.0;0;0.0;0.0;(-2.270473577979971, 2.4702850765662103)
44;innerClassesQty;0.19779911862852484;1.5738871394165757;0.0;0.0;0.0;1.0;(-2.2907349516731514, 2.6863331889302016)
45;lambdasQty;0.423886185903151;3.8761040415692003;0.0;0.0;0.0;1.0;(-5.704772423668174, 6.552544795474476)
11;lcc;-0.07283892774672869;0.25987410107551545;0.0;0.0;0.0;0.0;(-0.48373595989044965, 0.3380581043969923)
8;lcom;60.79599816593219;921.2761369971781;1.0;0;6.0;48.0;(-1395.869475270268, 1517.4614716021322)
9;lcom*;0.3062664093738882;0.3607836530793987;0.0;0.0;0.5555556;0.8666667;(-0.26418263376957246, 0.8767154525173488)
